"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R6CKZ5YKZ85UD","B07DWG8VP2","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"muffinofdarkness",1,"Very runny.","Your browser does not support HTML5 video. Very runny - almost the consistency of milk.",false
"R2DDUYFHSQ51HV","B07DWG8VP2","","Reviewed in the United States on June 4, 2020","June 4, 2020",1591250400,"cherrell jackson",1,"This was AWFUL!","The yogurt was very runny, as if it had a lot of water or some other type fluid. I tried filling it w/fruit, but then it was just messy. I wouldn't buy these again.",true
"R1BXWVV5M25PUQ","B07DWG8VP2","","Reviewed in the United States on May 24, 2020","May 24, 2020",1590300000,"E. Lewis",4,"Perfectly nice, regular yogurt.","I lean towards preferring Greek or the ridiculously rich Liberte - which costs twice as much, but this is a perfectly fine, easy to eat, nice simple yougurt.",true
"R190B4K2DP61JX","B07DWG8VP2","","Reviewed in the United States on May 3, 2020","May 3, 2020",1588485600,"M. Y.",1,"One of the worst yogurts I've ever had","The yogurt was goopy and flavorless. It didn't even taste like yogurt. It was one of the worst yogurts I've ever had.I'm going to be a lot more cautious about purchasing Whole Foods house brand items in the future.",true
"R255AI5RT05FQQ","B07DWG8VP2","","Reviewed in the United States on May 1, 2020","May 1, 2020",1588312800,"Amazon Customer",1,"Hate it","Very slimy. Yurk.",true
"R278A9WEI70U04","B07DWG8VP2","","Reviewed in the United States on April 23, 2020","April 23, 2020",1587621600,"Sharla G Hawk",1,"Taste","This taste awful! No flavor! No strawberry flavor!",true
"RFADCO9NT4U9T","B07DWG8VP2","","Reviewed in the United States on April 22, 2020","April 22, 2020",1587535200,"GE-79",5,"Yummy - not as sweet","Creamy and not as sweet as your average supermarket brand.I like it!Fruit is at the bottom so you need to mix it.",true
"R389YXCGZZUBFA","B07DWG8VP2","","Reviewed in the United States on September 27, 2019","September 27, 2019",1569564000,"M. O.",5,"Tasty snack","Always a treat to buy 365 yogurt with the cream on top!",true
"R3LPJ4MSQGZEEG","B07DWG8VP2","","Reviewed in the United States on August 26, 2019","August 26, 2019",1566799200,"L",1,"Bad","Bad taste",true
"R29K7M4GW24TNA","B07DWG8VP2","","Reviewed in the United States on July 14, 2019","July 14, 2019",1563084000,"France",1,"Yogurt","No flavor",true
"R1TYWWMQKOGXZ4","B07DWG8VP2","","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Theresa L.",2,"I did not like it. Too watery like soup.","This was my first time trying this yogurt I think. If I tried it before I don’t remember it being so soupy and it had a sour taste.",true
"R2B8VVB3KQ7D1N","B07DWG8VP2","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"Cindy J.",5,"Strawberry yogurt","I love the brand. Sweetness from the fruit vs added sugar.",true
"R2HMW2D6CNP3LV","B07DWG8VP2","","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"Sharon G. ",5,"Good value","Good tasting",true
"R3V9NOGE2YKH00","B07DWG8VP2","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"April Ford Duffy",1,"Not very flavorful.","Not very flavorful. I like that it’s whole milk and that it’s organic.",true
"R2JXYKZDOP6EAP","B07DWG8VP2","","Reviewed in the United States on March 31, 2021","March 31, 2021",1617170400,"Neta",5,"Remind me ofEngland","It taste like cream",true
"R3FLJ00WADANWV","B07DWG8VP2","","Reviewed in the United States on December 26, 2020","December 26, 2020",1608966000,"Mary P.",3,"Bland","Bland and tasteless, but the consistency is good. The price is reasonable, but they need to improve the flavor.",true
"R3QW5QBXOO64YL","B07DWG8VP2","","Reviewed in the United States on November 9, 2020","November 9, 2020",1604905200,"secyatlaw",5,"Good taste, good value.","Good texture for yogurt.Good taste (Noosa is more intense strawberry flavor) especially for the price.Reasonable serving size for me as I am on a self-imposed calorie restriction regimen.Thumbs up!",true
"R2S9TQU4UBPPD5","B07DWG8VP2","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"Hairy Rosa",5,"Great","My daughter loves it",true
"R19OEENGKT9985","B07DWG8VP2","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"Notorious B",5,"Outstanding natural yogurt for a great price","If you are tired of ""Greek"" yogurt craze with all that gum and thickeners, you may like this yogurt which tastes great It's a fine balance of delicate strawberry flavor and tart yogurt, without much sugar added.It has a a home-made yogurt consistency, which I like very much, but which apparently is out of fashion, judging by the other comments. I make yogurt quite a bit, and sometimes use this one (usually plain) as a starter strain.",true
"R1IETDGL8HA26L","B07DWG8VP2","","Reviewed in the United States on July 19, 2020","July 19, 2020",1595138400,"g",4,"average yogurt","very average",true
