"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2CTHF7JTRWTQ9","B07DWG98CM","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"R Glaus",1,"Not great, gloopy yogurt","I've never had a yogurt I didn't like until I tried this one. I thought it had a really weird texture that I can only describe as gloopy.",true
"R1CWT7842KVKNR","B07DWG98CM","","Reviewed in the United States on February 28, 2021","February 28, 2021",1614495600,"Classic Nostalgic",1,"Watery and gross","Watery and gross. Sticking with Trader Joe’s for this.",true
"R1GUTVND952PF7","B07DWG98CM","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"Dawnn Triplett",5,"Delicious","It’s soo good wish it was in stock more often",true
"R2PEWK5BDNX8NJ","B07DWG98CM","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Amazon Customer",5,"Good yogurt for the money","Decent yogurt with 6 small containers. Usually prefer Greek yogurt but this is a good backup to keep on hand.",true
"R39I3P3FRRNJ6A","B07DWG98CM","","Reviewed in the United States on January 2, 2021","January 2, 2021",1609570800,"Rob M.",5,"My Daughter Loves This","Everyday, my daughter asked for this whenever she has hunger pangs.Actually, it becomes annoying when she asks for it when we are away from home in the car.",true
"R1OI6CIOBFVI3N","B07DWG98CM","","Reviewed in the United States on January 1, 2021","January 1, 2021",1609484400,"Naava",1,"Did not like the taste at all","Did not like the taste at all",true
"R1VU6PJBSQRH","B07DWG98CM","","Reviewed in the United States on November 30, 2020","November 30, 2020",1606719600,"Shuang Hao",5,"Just the right size with great taste.","This is my go to yogurt. Just the right size with great taste.",true
"R1IW4I4WVZUFDA","B07DWG98CM","","Reviewed in the United States on November 24, 2020","November 24, 2020",1606201200,"Nancy Dagostino",4,"Nice flavor and price","Nice flavor and price",true
"R2SUJVJ3W5VQZI","B07DWG98CM","","Reviewed in the United States on October 8, 2020","October 8, 2020",1602136800,"Kindle Customer",1,"Has chunks of fruit in it","My kids didn’t like this or the blueberry because it had chunks of fruit in it, and my kids prefer smooth. Wish I would have known this before I bought a few packs.",true
"R1RHB9M8RODGT0","B07DWG98CM","","Reviewed in the United States on September 29, 2020","September 29, 2020",1601359200,"Joyce Chang",2,"Curdled texture","Tastes fine but the texture is curdled and unpleasant.",false
"RGRE5QPOINW4G","B07DWG98CM","","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"30 DWF",3,"Good","Good, not very good.But it's whole fat, and really healthy for your brain. Not alot of probiotics, probably safe for kids.Mild enough in taste too.",true
"R11YZ7FDQDBFYM","B07DWG98CM","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Sara Shattuck-Brown",5,"Very fresh","Yummy",true
"R251JFU2RHHI3F","B07DWG98CM","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Irena",3,"Great price for a USDA product but never buy it again","I know everyone has their own favor. For me, I like OUI, liberty(especial coffee).and I just want to share my feel about this yogurt.The favor is kind of manufactured although it’s USDA product. But depends on it’s price you can’t say anything wrong about it.",true
"R3IQZ24UV55BAV","B07DWG98CM","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Deborah Johnson",5,"Delicious 😋","This was a thick yogart, with premium quality fruit.",true
"R2FBSP05G1PO2A","B07DWG98CM","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Ellie",1,"Weird flavor","It has a weird taste but is ok",true
"R2WYLH0VYV77Y0","B07DWG98CM","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"stephanie depaulo",3,"We have had better","Good flavor",true
"R1LCG6AB58942G","B07DWG98CM","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"JCM",1,"Nope","Made a mistake buying this",true
"R1N0U2MRTCAOF8","B07DWG98CM","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"Tal Cohen",5,"Taste good","Taste good and refreshing.",true
"R2JHN9NH7VVE5J","B07DWG98CM","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"MRC",4,"Small container","Tastes good",true
"RW0CPJ4DIN0AR","B07DWG98CM","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Corndog",5,"Delicious!!","It's thick, creamy, perfectly sweet, and has a good amount of strawberries.My brother who is a strawberry yogurt freak turned wide-eyed, exclaiming, ""WOOOOW....""I agree.It's definitely a good tasting yogurt!",true
