"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RE28LCDK7QK5","B07DWGFQ1R","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"matthew smith",2,"Its good.","It tastes good",true
"R3A1MR3NW950IL","B07DWGFQ1R","","Reviewed in the United States on December 27, 2020","December 27, 2020",1609052400,"Phinesse D.",5,"365 Brand Yogurt! Delicious.","For the price, taste, and really because of the 365 Brand, it is and will be repurchased again and again.",true
"R2T64UG5WHU4F6","B07DWGFQ1R","","Reviewed in the United States on June 8, 2020","June 8, 2020",1591596000,"JimmyBlues",5,"Very Tasty Yogurt","Very tasty yogurt.",true
"R32UBOAUB7NJVB","B07DWGFQ1R","","Reviewed in the United States on May 25, 2020","May 25, 2020",1590386400,"Anthony DEFUSCO",5,"N/A","Very good",true
"R9PG0YA6C0F2","B07DWGFQ1R","","Reviewed in the United States on March 22, 2020","March 22, 2020",1584856800,"Daniel Markovich",5,"My favorite","Awesome texture :)",true
"R2PEFYLEGVGUBI","B07DWGFQ1R","","Reviewed in the United States on March 1, 2020","March 1, 2020",1583046000,"Terri Sanders",1,"Yogurt","I didn'tlike the taste.",true
"RDDT2A9LA39JB","B07DWGFQ1R","","Reviewed in the United States on February 25, 2020","February 25, 2020",1582614000,"debbie nc",5,"So smooth and creamy.","Love the texture and flavor of this yogurt",true
"RF7DVE3EGAZFO","B07DWGFQ1R","","Reviewed in the United States on January 10, 2020","January 10, 2020",1578639600,"ss",5,"Delicious","Perfect for people who don’t need to monitor fat intake.The whole milk makes it creamy and delicious.The blueberries are on the bottom and you can avoid stirring them all in - to keep it from being too sweet. Other flavors good too",true
"R1A8GU8V2ADTCO","B07DWGFQ1R","","Reviewed in the United States on July 3, 2019","July 3, 2019",1562133600,"Chase",5,"Just as good as the expensive brand names.","Good yogurt for a good price.",false
"RBC4VVDLJPTAJ","B07DWGFQ1R","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Andrew N.",4,"Good quality","A little sour for my taste but still good",true
"R1E62ZQH1TVXLE","B07DWGFQ1R","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"vicki andrew",1,"Bland","Very bland, no taste, even the blueberries were tasteless.In the future I will spend a bit more for Noosa or Brown Cow",true
"RSCMR913MXC10","B07DWGFQ1R","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"NINA",5,"Light refreshing yogurt treat","Not too sweet, not too tart. Perfect for a light late night dessert",true
"RBNHV1BR2L996","B07DWGFQ1R","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624428000,"JulieKC",1,"Bland taste, gel-like texture--","not good.",true
"R1PIHM0N2WO402","B07DWGFQ1R","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Sharon G. ",5,"Good","Like very much",true
"R1MRD415ITHP3B","B07DWGFQ1R","","Reviewed in the United States on May 19, 2021","May 19, 2021",1621404000,"Lectroman",5,"365 Blueberry Yogurt","365 Blueberry yogurt! Yummy flavor! Good value size",true
"R1D54GBNVT7RU4","B07DWGFQ1R","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"April Ford Duffy",1,"Not very good.","Not very good.",true
"R1FA1W145X4SO9","B07DWGFQ1R","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Samon",5,"Love the taste!Perfect snack!","Great taste!I’m loving this so much I’m eating nearly everyday!Not too sweet or too sour.Smooth, creamy yogurt with real blueberries.I usually get the small size for snacking.Very satisfying!",true
"R1UVE1W1EANHAM","B07DWGFQ1R","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Nick",2,"Needs more blueberries","This was thick and creamy but barely and blueberries.Found some ""blueberries"" (no berries but a jam possibly) at the bottom but overall, it tasted like plain vanilla yogurt to me.",true
"R36DKKET0M3L1X","B07DWGFQ1R","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Big guy in Texas",5,"Great Greek Yogurt","Great Greek Yogurt with a shuttle flavor.",true
