"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RFKU8MAKCVMYU","B07DWSD915","","Reviewed in the United States on April 11, 2021","April 11, 2021",1618120800,"carolc84",5,"Great taste","This is a simple and delicious vanilla yogurt.",true
"R3U1FC0A218R1S","B07DWSD915","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"Lynn A Obrien",5,"Delicious...","all by itself",true
"R18QF1H51ABX1B","B07DWSD915","","Reviewed in the United States on July 19, 2020","July 19, 2020",1595138400,"noon for no-one",5,"rare whole milk version in a single cup","I prefer whole milk all the time, so I tried this. It has a nice vanilla flavor that is not too sour. There is no wateriness or syrupiness.",true
"R2XZ8GQ9OO5BXV","B07DWSD915","","Reviewed in the United States on June 19, 2020","June 19, 2020",1592546400,"Jen San",2,"Hot yogarts","My favorite but they were so hot I didn't want to get sick. Not normal cause they always come cold an fresh ty",true
"R5LPU2WWGZHUL","B07DWSD915","","Reviewed in the United States on June 10, 2020","June 10, 2020",1591768800,"30 DWF",1,"Amazonneeds toreadthis.","If Amazon wouldknockon my door Icouldget them beforethey get hot.Ice wouldbe nice in thebags too.",true
"R1IABDHXFS4VGB","B07DWSD915","","Reviewed in the United States on April 26, 2020","April 26, 2020",1587880800,"Hoosier72",5,"Great taste and great price","I will continue to purchase this product when the stores are accessible again",true
"R27K6FM42IE61I","B07DWSD915","","Reviewed in the United States on April 20, 2020","April 20, 2020",1587362400,"Jetsetter",5,"The best","my 4 and 8 yr old boys loooooooooves this one. They say its the best ever. So I'm happy to buy them more ...",true
"R3L3JX1PZ5YH8W","B07DWSD915","","Reviewed in the United States on August 26, 2019","August 26, 2019",1566799200,"L",3,"Bad","Bad taste",true
"R2AXPJ9YKF5HG","B07DWSD915","","Reviewed in the United States on June 21, 2019","June 21, 2019",1561096800,"ChitChat",5,"Delicious Yogurt. Great Price","My kids and I love WholeFood’s",true
"R27OEZXKBPG6YX","B07DWSD915","","Reviewed in the United States on May 10, 2019","May 10, 2019",1557468000,"Marian mostovy",4,"Value good","Good taste",true
