"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R34JWN3AYP04WI","B07FM5NPZ3","","Reviewed in the United States on July 17, 2020","July 17, 2020",1594965600,"Mitchell",5,"Best yogurt on the market","Best yogurt out there. Check the label it has more protein and less fat than Greek.",true
"R2IIUKIADLJBY4","B07FM5NPZ3","","Reviewed in the United States on June 20, 2020","June 20, 2020",1592632800,"Pamela",5,"This is really special.","I adore the plain sky as a generous condiment with cold fish, whether the fish was smoked, dried, cured or cooked at home. It’s really special. Sometimes I mix it with peanut butter and chopped walnuts to enjoy with a cup of coffee for breakfast. Be creative. Fruit is so obvious, but the fruit flavors might be nice with the peanut butter, which actually mixes very well. This skyr has a lovely texture and density and the flavor is still mild, not sharp. I haven’t tried it in hot dishes, but I plan to use it as a substitute for Greek yogurt in a quick bread recipe with olives and cheese. I might float a dollop on my next bowl of hot soup. It couldeven add substance to a cold gazpacho this summer.Idk!;)Cultured milk products are supposed to be better for us than milk and cream.",true
"R33ADLZURWBWZY","B07FM5NPZ3","","Reviewed in the United States on December 27, 2019","December 27, 2019",1577430000,"Ruben M",5,"FIRE","BOMB",true
"R292R59H3E835S","B07FM5NPZ3","","Reviewed in the United States on March 31, 2019","March 31, 2019",1554012000,"Bob R.",5,"Really good yogurt","This yogurt is smooth, think, and tasty.Nutrtional content is comparable and slightly better than chobani.GREAT WITH FRUIT OR ALONE!",false
"RUPILYPS769","B07FM5NPZ3","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"M. Moody",5,"Just the best","It is much less sugary than other yogurts and high protein. We use the plain instead of sour cream and the flavored in our smoothies.",true
"RERQEYFE17CR7","B07FM5NPZ3","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"Andrea",5,"Expensive but worth it","Tastes so creamy, but not much fat YUMMM",true
"R1I9R5OX4KUBX1","B07FM5NPZ3","","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Al Danza",2,"Doesn't taste good","Doesn't taste like other Skyr I've had. Disappointed.",true
"R19A563HG9BQR7","B07FM5NPZ3","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Amazon Customer",5,"bestest","I really like this a lot.",true
"R23KBQY04HAHHZ","B07FM5NPZ3","","Reviewed in the United States on January 28, 2021","January 28, 2021",1611817200,"Mina",5,"Best icelandic yogurt","My family loves it. Thick, creamy and tastes awesome.",true
"R2733V2GVM3BEK","B07FM5NPZ3","","Reviewed in the United States on December 18, 2020","December 18, 2020",1608274800,"S. Hill",5,"Icelandic yogurt is the best","Creamy and delicious! It is thick and nutritious too. I love having it with fresh berries and a little granola.",true
"R3PIZKJNA441ES","B07FM5NPZ3","","Reviewed in the United States on September 30, 2020","September 30, 2020",1601445600,"Angela Parker",5,"Thick and rich","One of my favorite plain whole milk greek yogurt. Try it.",true
"R2G79T7UI02A3","B07FM5NPZ3","","Reviewed in the United States on September 14, 2020","September 14, 2020",1600063200,"Amazon Customer",5,"Addictive!","Best Yogurt Out There. You simply have to try it. Clean ingredients + the best (thick) consistency + natural flavor + not much sugar. Seriously, how can you ask for more!I've recommended it to a lot of friends and they all loved it",true
"R1EO2XQZUSRYD0","B07FM5NPZ3","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"F",5,"Delicious","Quite delicious, a usually try to get them on prime member promotion.",true
"R38V0YF3THB9LS","B07FM5NPZ3","","Reviewed in the United States on July 19, 2020","July 19, 2020",1595138400,"Rebecca",5,"Love This Product","I was a devotee of the other popular skyr brand for years.Then I discovered Icelandic Provisions. Both the plain and flavored options have a superior smoothness, creaminess and overall flavor.Love the plain with a sprinkle of berries, or as a base for a smoothie.It's great in place of greek yogurt in recipes, if you don't mind losing a little of the extreme tanginess of greek yogurt. I prefer the subtle sweetness of this skyr.",true
