"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3FLKHZFDAZB6O","B07FYH7W7N","","Reviewed in the United States on September 10, 2020","September 10, 2020",1599717600,"Tanjh Dois",5,"Best Yogurt Ever","I hope they NEVER ever change the recipe for this yogurt. I grew up on real full fat yogurt and in America couldn’t find anything that tasted good. But this French yogurt hits the spot! They truly brought French yogurt to America. It’s pure dairy goodness.",true
"RHE61CL9SLRRN","B07FYH7W7N","","Reviewed in the United States on August 12, 2020","August 12, 2020",1597212000,"jaber",5,"Oh la la","Best yogurt ever.",true
"RSQ0BY9HDYP40","B07FYH7W7N","","Reviewed in the United States on June 17, 2020","June 17, 2020",1592373600,"Kitty",5,"EATING A CLOUD!","Eating this is like eating a cloud from heaven.Seriously.It’s amazing.Beyond words.",true
"R2SDEIMQ6N3HRJ","B07FYH7W7N","","Reviewed in the United States on May 18, 2020","May 18, 2020",1589781600,"Missy Mae",5,"Best Yoghurt ever","Creamy, flavorful. Delishous",true
"ROPJZ0PCH2Q82","B07FYH7W7N","","Reviewed in the United States on February 18, 2020","February 18, 2020",1582009200,"lynx",3,"Not as good as other flavors","not as good as other flavors. Please bring more honey yogurts—they got sold out so fast",false
"R3OWJNO2FLCRML","B07FYH7W7N","","Reviewed in the United States on December 22, 2019","December 22, 2019",1576998000,"Weilan",5,"Creamy, deliciousness","Delicious, creamy, amazing!!! Also comes in a great reusable ceramic jar. This is amazing yogurt and worth it. All their flavors are so good and rich",false
"RZI6CWQXRIM3X","B07FYH7W7N","","Reviewed in the United States on December 8, 2019","December 8, 2019",1575788400,"Xi Zhang",5,"Best yogurt","Best yogurt",true
"R2E96WPEWP8KV5","B07FYH7W7N","","Reviewed in the United States on November 23, 2019","November 23, 2019",1574492400,"Christy G",5,"The best yogurt I’ve ever had!","Unbelievably good! We love all 3 flavors, especially with Michele’s granola on top! It’s thick like custard, and does not seem to upset my hubby’s lactose intolerant tummy for some reason. The little jars are glazed terra cotta & I have re-used them as pen cups. Now I send them to my sister, who makes cool craft things from them! Would be great for votive candles or succulents.",false
"R3FWRXB9NAJ3HQ","B07FYH7W7N","","Reviewed in the United States on November 9, 2019","November 9, 2019",1573282800,"Fresia Moore",5,"Perfect Pampering in a ceramic Pot","Well, they sent me to Wholefoods to buy yogurt. “Buy something interesting,” they said. There I picked this one and a few others. Of all the ones I picked this one was the best!!! So rich! So delicious! So satisfying! So decadent! I’ll be buying more. The glass containers will be in my cupboard. They are like ceramic pottery. It would be a shame to throw them away. It’s such a lovely eating experience and well worth the money. Try it you will love yourself for the pamper.",false
"R4JB57GQNBSJD","B07FYH7W7N","","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"Sandesh",5,"Delicious!","One of the best yogurt I’ve had",true
"R3Q00H7B5QGZBT","B07FYH7W7N","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Alicja Breen",5,"Delicious","Delicious",true
"RZN6J0TDRENJ1","B07FYH7W7N","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"SONDY",5,"great product","love both the taste and texture of this product. thick texture and light flavor. not too sweet. great for baking",true
"R17SDAMRALDQ92","B07FYH7W7N","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Nick Kovgunov",5,"Impeccable","All flavors are spectacular. What a difference from any other yogurt - no heartburn or stomach weirdness, amazing flavor and texture. Impossible to switch to any other yogurt brand after this one. Sold forever.",false
"R29BONY7GE0U4Q","B07FYH7W7N","","Reviewed in the United States on June 14, 2021","June 14, 2021",1623650400,"Lamiaa",5,"Taste good","Taste good like home made",true
"R2J29RS8X28PX0","B07FYH7W7N","","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Amazon Customer",5,"Best Yogurt Ever!","This is absolutely the best yogurt ever! Unfortunately,a bit pricey but so much better than anything else available.",true
"R25BEMN5JCWBNQ","B07FYH7W7N","","Reviewed in the United States on April 11, 2021","April 11, 2021",1618120800,"Pixel",5,"Addictive and delicious","I love this yogurt!-thick-creamy-flavorful (have tried all flavors)-my goto desert-I have also reused the product container for many home purposes.",true
"R1ULALYYJGF1G1","B07FYH7W7N","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Chester Barkan",5,"Great Taste","Excellent but expensive.Get it locally for less.",true
"R35UIC8RCIBL1Z","B07FYH7W7N","","Reviewed in the United States on November 13, 2020","November 13, 2020",1605250800,"Soyeon",3,"Incorrect jar color","If you are collecting the jars, the photo on the website is with the incorrect color. I received with the orange jar.",true
"R2MWHZLSXJMBYN","B07FYH7W7N","","Reviewed in the United States on October 27, 2020","October 27, 2020",1603778400,"Andrea B.",5,"I hide these from my kids!","Such delicious yogurt- thick and creamy and flavorful. We fight over them in my house.",true
