"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R9K8PTHDKWYH9","B07FZ1JHLF","","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"David O",5,"Clean ingredients, immaculate flavor","Best coconut yogurt I’ve tasted!",true
"R29LIFMQ81EWKK","B07FZ1JHLF","","Reviewed in the United States on June 21, 2021","June 21, 2021",1624255200,"S",5,"Yum","This has a refreshing light taste and reminds me of being at the beach.",true
"R176BLTNWJ29TV","B07FZ1JHLF","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Kat",3,"Too pricey","VERY expensive for the amount of product you get in the jar (one serving). It also fermented and went bad in an unopened jar VERY quickly. Won't be wasting my money again.",true
"R39727WNX1QIBN","B07FZ1JHLF","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"CP",5,"Healthy","I like all the Cocoyo yogurts as they are flavorful and low sugar.",true
"R2HZ892UMA4LDX","B07FZ1JHLF","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"Custom",3,"Tastes good, too expensive","Tastes good. $6 for 2 servings is not worth the cost. If it was more affordable I would purchase this product often! I'll stick to goats milk kefir.",true
"R2NRXY8DVHQGOY","B07FZ1JHLF","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Kiki Goggle",5,"Favorite Coconut Yogurt","Love the glass container.Keeps product fresh and great flavor! My favorite coconut milk yogurt.Highly recommend!",true
"R3M6LV6T681WL1","B07FZ1JHLF","","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"Andrew D Thornfeldt",5,"Great quality - probiotics","This is a great product",true
"R3SQIZLFVB2IK9","B07FZ1JHLF","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Diamond Rose",4,"Buyer beware!","If you have allergies don't buy this. It has coconut water in it. Coconut water has lectins so if you are allergic to gluten you will get a reaction due to cross reactivity. It tastes good but I got glutened after consuming it and my body was inflamed.",true
"R1W3Z7P9W877UO","B07FZ1JHLF","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Brianna P.",1,"Little silicone balls in yogurt","I would buy this again, but there were little pieces of silicone looking things in the yogurt.",true
"RB13BUU5UUZYT","B07FZ1JHLF","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"Jieli Tian",5,"Favorite yogurt!","You can taste the probiotics tingling on your tongue. I love this yogurt so much!",true
"R30W9VI3IBU4TG","B07FZ1JHLF","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Carefyl shopper",5,"The BEST, but too expensive!My favorite 😋","I LOVE 💕 this yogurt but I hate the price. Food with no sugar is sooo expensive. A shame.",true
"R1CX07WOXZUC1A","B07FZ1JHLF","","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Skabberdink",3,"Tastes good but $$$$$$$!","Good taste, nice texture, love the glass jar, hate the price.",true
"R1RDHYM2BUE4OZ","B07FZ1JHLF","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"Iron Tamer",5,"Vegan coco","Great flavor, would love a bigger glass.",true
"R1FGV502GKB95B","B07FZ1JHLF","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"Jo",4,"Properly Stored","This yogurt is absolutely great when I can get it fresh. I don’t think Whole Food always stores it properly. When it thick and creamy it is delicious. Other times it like liquid and does not taste fresh. I love it, but I am going to stop purchasing it because the texture is so inconsistent",false
"RJ3U11LNYPIPW","B07FZ1JHLF","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Mrs C",1,"PROS; clean ingredients, glass jar.CONS; inedible","This is pretty disgusting. I don't understand the good reviews hahaI used to love the 'so delicious' brand coconut yogurts but I stopped because of all the weird added ingredients.This was on sale so I thought I'd try...mistake...😂I don't know why I thought it would be similar to the so delicious brand. It's not... It tasted rotten and is very gritty , I even tried to sweeten it with honey and maple syrup and fruit and it's just so disgusting.Idk if maybe I got a bad batch or something... I can't understand the great reviews...Pros ; pure and simple ingredients, glass jarCons ; inedible",true
"R1QALK3BSMRXID","B07FZ1JHLF","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"RGO Personal",1,"sour in a bad way","I think the one I got went bad before its 'best by"" date. I love sour things, but not things that have become sour from spoiling. This was a disappointment.",false
"RRXAENPDQXJYP","B07FZ1JHLF","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"MDiaz60",5,"great for digestive problems","I eat one of these a day. Is healthy, not sugary or sweet and it helps my digestive problems.",true
"R2F69S21K3JOAK","B07FZ1JHLF","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"AZ",5,"That it contains probiotics","I love the consistency and the flavors are amazing",true
"R2OD4VKHEUERMX","B07FZ1JHLF","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Asb",4,"Love it but maybe not right for everyone.","This yogurt offers a lightly sweet, creamy flavor. The probiotics sometimes give it a sharp tangy flavor. It’s not for everyone but the ingredient list is short. If you want yogurt without the weird fillers it might be a good choice. The vanilla flavor seems smoother and sweeter as it uses stevia. Only downside for me is the cost.",true
"R364LIJ39XSS8J","B07FZ1JHLF","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Ned and Nelly",5,"So delicious and healthy!","So delicious and healthy!",true
