"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3U2UWBYK4FRE9","B07FZ4HFQ9","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"Tee Houghton",5,"A nice thick yogurt","This taste great",true
"RT3VYT0PXRGRZ","B07FZ4HFQ9","","Reviewed in the United States on July 30, 2020","July 30, 2020",1596088800,"Soozie",5,"Delicious","Best flavour without additives or excessive use of sugars. Great for baking as well. Since it’s minimally sweetened add about 25% less sugar to your favourite recipes.",true
"RF7P82Y2DZ5BO","B07FZ4HFQ9","","Reviewed in the United States on July 10, 2020","July 10, 2020",1594360800,"Rachel",5,"Excellent","Excellent taste, very rich and healthy, hopefully!",true
"R3FT1K0ZIFQ432","B07FZ4HFQ9","","Reviewed in the United States on June 26, 2020","June 26, 2020",1593151200,"target fan",5,"My favorite!!!","Best yogurt ever! goes great with fresh fruit and crushed almonds.",true
"R2U5U6HC1U120B","B07FZ4HFQ9","","Reviewed in the United States on May 24, 2020","May 24, 2020",1590300000,"augustusmax",5,"My New goto Yogurt","Icelandichas less sugar yet great as a sweatner, smooth not watery , no need to stir, excellent packaging, clean vanilla flavor Thank You Icelandic Yogurt",true
"R2UZQ3H9HS1LEE","B07FZ4HFQ9","","Reviewed in the United States on May 6, 2020","May 6, 2020",1588744800,"Mutiat Kakpovi",2,"Eern","Een",true
"R248EOLG1PRPKL","B07FZ4HFQ9","","Reviewed in the United States on March 24, 2020","March 24, 2020",1585029600,"Neal lewandowski",5,"Will be your fav (you dont need to be daring)","Unbeatable. The best stuff ever. If you are looking for:- high protein (relative to other products)- like the thick style of ""yogurt""- enjoy taste over HFCS sweetners- not afraid of words like Skyr- think that heirloom cultures are fabulousThen this is for you. Personally, I don't mind if you don't buy any because that keeps some on the shelf for me. All flavours are delicious. If you want to test your taste buds, vanilla is much better and tasty than you are thinking; amazing is a word that fits, in my mind.",false
"R2HE5PG3MDDPMP","B07FZ4HFQ9","","Reviewed in the United States on February 26, 2020","February 26, 2020",1582700400,"Neelam Noorani",5,"Wonderful","I really love this Skyr brand. When put it smoothies, it reminds me of the hydrating smoothie I had in Iceland.",true
"R11EL36BYTDAYY","B07FZ4HFQ9","","Reviewed in the United States on December 12, 2019","December 12, 2019",1576134000,"♻️",4,"good alternative to siggi's (but not as good)","richer (due to higher fat content), slightly thinner, stronger vanilla flavor, and sweeter than siggi's.would buy again, but still prefer Siggi's",true
"RYA0LSX3OD99","B07FZ4HFQ9","","Reviewed in the United States on December 8, 2019","December 8, 2019",1575788400,"Sally",5,"Thick and creamy","My kids favorite.Not too sweet but very thick and creamy.I love the high protein and add this to recipes often.",true
