"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RPJPF1YQPTN0V","B07HHGK3TF","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"vfs",1,"3 Organic Pineapples ROTTEN to the core 4 days after delivery","I'm detoxing and fresh high quality produce is essential. I ordered 3 organic pineapples and 4 days later while attempting to cut/core discovered all 3 had mold on the inside & in the outside skin. I'm beyond disgusted considering how much consumers have confidence that we're paying for & getting the quality in produce. This rotten produce also had a distinct foul odor.Never again will I allow Whole Foods to select/deliver my fresh foods & produce",true
"R3N87X5MOJGHD2","B07HHGK3TF","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Maria M Dean",5,"Excellent product!","We like to eat it in slices, it was very sweet.",true
"R8W3GYIHNVJLJ","B07HHGK3TF","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Shiela M",5,"Puneapple","Tastes like a pineapple",true
"R1NN6PE80CSQNH","B07HHGK3TF","","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Stacey Elgin",5,"Delicious and sweet!","Great size.Perfectly ripe and sweet!",true
"R3A0JDELBW14EI","B07HHGK3TF","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"Mzmm",5,"5 stars","Juicy, fresh and delicious",true
"R6TB3ACWAQOOC","B07HHGK3TF","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"Jandy",5,"Nice pineapple","Good flavor. No bad spots.Cuts easy.",true
"RPM51MMIUM6UI","B07HHGK3TF","","Reviewed in the United States on March 9, 2021","March 9, 2021",1615273200,"Maria Ingegneri",3,"not ready to eat","Whole Foods needs better personal shoppers when becomes to fruit and vegetables.",true
"R2PHI6DUEB099M","B07HHGK3TF","","Reviewed in the United States on February 16, 2021","February 16, 2021",1613458800,"Sam",2,"Small","Very small compared to other stores and prices",true
"R3LHON445UXZTC","B07HHGK3TF","","Reviewed in the United States on February 6, 2021","February 6, 2021",1612594800,"Anne Douglas",1,"Rotten. How rude.","Received a pineapple so rotten it fell apart as I lifted it from the bag. There is absolutely no way whoever packed this did not know. My thumb went through the side of the fruit. Absolutely disgusting.",true
"RCUD92IGVYC2G","B07HHGK3TF","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Lolo",1,"Moldy","Mold all over and pineapple looks very old",true
"R2ZD4EM0TQ082Q","B07HHGK3TF","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Kindle Customer",1,"Dinky pineapples!","Really small pineapples that are oftenhard and dry.",true
"R35MARAYN952TL","B07HHGK3TF","","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"QUALITY 1st",4,"Flavorful but small!","Flavorful but small!",true
"R1HLC9ELM5Q8DK","B07HHGK3TF","","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"LYNN R.",5,"Good pick","Arrived in perfect condition and was able to cut two days later great taste",true
"RBMOH2TOEV45P","B07HHGK3TF","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Amazon Customer",5,"Great Product","Great taste, great priceand will buy again.",true
"R1CTIVRFM3C3JU","B07HHGK3TF","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Mimi Morales ",1,"Green yo black","The pineapple was green when arrive. I waited for a couple days, it's turn black instead of yellow. Most of the inside rotten. Sadly, I had to throw it away.",true
"R15F9JKAYTFRY7","B07HHGK3TF","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Horlando Diaz",1,"Tart","This pineapple was not ripe. Boy did my lips itch at the first biteI'll be buying my fruit elsewhere",false
"R2BRWBRBFWZ2XA","B07HHGK3TF","","Reviewed in the United States on June 1, 2021","June 1, 2021",1622527200,"Karista Williams",1,"Nope","The pineapple smelled horrible.Maybe they are out of season but it just wasn’t good.I had to throw it out!",true
"R716Q17N19X49","B07HHGK3TF","","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"Jennifer Mello",1,"Arrivedold, wouldn't purchase again","Arrivedold, wouldn't purchase again",true
"R2V8X01QLYCNNZ","B07HHGK3TF","","Reviewed in the United States on May 3, 2021","May 3, 2021",1620021600,"Rita Review",3,"Looked perfect, but had to toss it!","The crown was beautiful, no limp leaves.There was a small area developing pineapple color, otherwise it was firm and very green.As expected it needed to ""hang out"" on the counter for a couple of days until it ripened.But it didn't ""ripen"" as expected: it went from not ripe to rotten.I tried cutting it anyway and salvage what I could but even the semi-good pieces (darker color, taste of alcohol developing, not that sweet but not rotten) went bad in the refrigerator the next day.The months for good pineapples is upon us so I though it was safe to try it.Hard to buy this kind of product without ""seeing, smelling and pinching"".Will buy many more pineapples, but not until I can go into the store!",true
"R25UYBQRKJTUBX","B07HHGK3TF","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Amazon Customer",5,"OUTSTANDING","Tasted exactly like pineapple!",true
