"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RB9E7JNDP1Z8E","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"ABM",5,"Breakfast on the go!","Really happy with the product, flavors, easy to use, and quick to put together for breakfast on the go!",true
"R3K7I1WBPOLAVZ","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Ls",5,"Convenient and Filling Breakfast on the go!","Dairy free pack has great flavors. I like to prep a few with almond milk so they're waiting for me in the morning for the next couple days. Overnight oats makes a healthy choice easier and keeps me full till lunch.",true
"R2H85D3TYR2TC","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Steph68842",5,"Delicious Gluten and Dairy free Oats!","So easy to make and a delicious meal!",true
"R3JJG7HD6LRL3B","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"Paige",3,"Convenient but gross","I’ll say they’re convenient and it’s nice that a blender bottle is included.Such and easy way to make breakfast and have it ready to go the next morning.However, the taste is not very good.It’s consumable but not enjoyable.I’ve made one of each flavor and the others are just sitting there because I don’t want them.",true
"R17UA26I2FNQ4I","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"lori hakspiel",3,"Too sweet","Too sweet to be a healthy option - reminds me of the flavored breakfast oatmeal’s that are too sweet - I really wanted to like them - :(I wanted to support this company because seems they are trying to do things right",true
"RX805JGMUHWZ","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"Colleen Perez",5,"You will never buy any other breakfast oats again","Amazing oats and so convenient. Blueberry is my fav.",true
"R1NTEA08SIQZNB","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Rufus",5,"Yummy","Great flavors. Blueberry cobbler is my favorite. Not overly sweet. Keeps me full all morning! You have to try this!",true
"R34ZB0XW928SZD","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Morgan Joan",5,"Easy and nutritious breakfast","I love oats overnight. It takes a little bit to get used to the drinking cold oatmeal, but each flavor is so unique and bold, you forget it’s oatmeal. It also keeps me full for hours and I don’t snack between meals. I will definitely be buying more😊",true
"RW4E9UTSTP89H","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Alicia Johnson-Brown",5,"Fantastic!","I absolutely loved this product.The flavors are really great with no fake sugar taste. Oats overnight has real ingredients and it shows. It's also low calorie perfect breakfast on the go. Takes 30 seconds to make.",true
"R2PBTOQL3RFRM5","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"kathleen clayworth",2,"Too pasty","This turned into pasty oatmeal, not drinkable with 1 cup plant milk.",true
"R34L91F7V316ZZ","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Dclady",5,"A little pricey","A littlepriceybut for me it's worth it to have breakfastready in the morning.Love the taste and the texture..drinkableoatmeal. I will definitely order again",true
"RJU8I38DUHHE7","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Neel Joshi",5,"Very convenient and tastes really good","Keeps me full for hours and tastes good, also healthy",true
"RMB5PR4C984BI","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"J.B.",5,"Yummy, easy breakfast","I've actually been enjoying these quite a bit. Very easy to set and forget to enjoy in the morning. At $3 a bag, it is a LITTLE pricey, but I don't see how they could offer this for less and keep it as convenient. All of the flavors have tasted great so far, if you want to eat it warm I would microwave it unless you want the full flavor of protein in your mouth. (not fun) Keeping these as an office staple! Thanks!",true
"RE8THSCBVRZZP","B07JYY4Q2S","B07JYY4Q2S","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Samantha Calhoon",4,"Yummy and easy breakfast","I love this stuff! Super easy, very delicious and customizable with your choice of milk. The only thing I wish I could do is create my own pack of flavors! I love the Chai and PB.",true
"R1X968015440FE","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"G",5,"I was super surprised at how good","I was super surprised at how good this oatmeal tasted. I saw an ad on social media and looked up the product on a popular search engine. All reviews were pretty positive. I saw that Amazon sold the product so I decided to place an order. I make good oats on my own but sometimes I get tired of ""my"" flavor. I have to say I loved each flavor in the combo pack I ordered: blueberry, pancake, bananna, chia. I was pretty sure there was going to be a front runner but I was wrong...each packet was yummy. I used oat ""milk"" to make the meal. I will say that I think this product is kinda pricey (vegan with shacker cup). I wish they had coupons that I could find. I most likely will order agian. Packing and shipping were good and fast.",true
"RJ8PG2QN9RY9K","B07JYY4Q2S","B08289SL2R","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Amazon Customer",5,"Love it!","With my busy training schedule, sometimes I don’t have time to prepare breakfast or eat my packed lunch or post workout meal. Oats Overnight has really made my life easier. I prepare the night before and I have it ready for my breakfast on the go.Sometime I make it in the morning before work. After training my camps and my own workout .. it’s ready for me to drink. It’s perfect! I have enjoyed all the flavors so far!I love that they offer dairy free!!Overall, I highly recommend for all types of lifestyles.",true
