"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R17ZNGH5DMG83E","B07KFHCYDH","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"Michelle",5,"Delicious creamy yogurt","This is maybe my favorite yogurt. And reasonably priced!",true
"R3H4X7M8JXJMAI","B07KFHCYDH","","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"HR",5,"Really delicious","Oh this is good.Tastes of genuine maple flavor, no off notes at all.Texture creamy and satisfying.Yum.",true
"R2J9QPDYKYSSDU","B07KFHCYDH","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Exavier Nunez",4,"Delicious Yogurt - Sometimes runny","This is a delicious product, I get them often for my lunches to work and days out. The yogurt is very creamy and decadent with swell cultured and sweet taste. My only qualm is that when I bring it to work (often in a lunch box with an ice pack) it gets too creamy and loses its structure even after being in my lunchbox for an hour. I end up having more of a yogurt soup than a semi solid snack. Regardless, I give their flavors a 5/5, but the stability of the yogurt lacks when packed.",true
"R31N1U44MBE3C3","B07KFHCYDH","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Annette L.",5,"Brown Cow is DE-lish!","I like the cherry flavor the most.Not a low-fat yogurt!",true
"R21J015NMB9XPC","B07KFHCYDH","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Pauline",5,"Awesome find","I finally found my flavor and my to go to yogurt. I hope the company maintains the flavor and price for long. I love this yogurt it’s healthy and doesn’t have any aftertastes like others",true
"R1SK55YKMD1LU5","B07KFHCYDH","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"T",1,"bad","I've bought other flavors of this brand for years and they were good and I've always enjoyed them, mostly vanilla I think.This one smells like some kind of artificial flavoring and it's extremely pungent and disgusting.I think the actual flavor might be ok, I honestly can't tell, because I can't get past the terrible artificial smelling maple smell--it ruins the product for me.I've had other brands of maple flavor yogurt(with real syrup) and they did not have this pungent terrible fake maple smell, and neither does any real maple syrup I've ever encountered, and I've bought lots over my lifetime.The ingredients say ""maple syrup"" and then ""natural flavor"", so I don't have a clue what they've used to create this smell.Is it actually real maple syrup?Is it possible I got a bad batch?Is this ""natural flavor"" something added to make it pungent?I don't understand it.",false
"R21ZZXNIWUEGM8","B07KFHCYDH","","Reviewed in the United States on June 14, 2021","June 14, 2021",1623650400,"Alicehills",5,"Absolutely delicious!!😛","Absolutely delicious!!😛",true
"R1JNY4AQXRYHBH","B07KFHCYDH","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"RLHII",4,"Smooth favorable","Good consistency, flavourful at good price",true
"R1VKXB5TPLPPX1","B07KFHCYDH","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Vic.",4,"Overwhelming maple taste","Maple flavor is too strong and a little bit too sweet. The other flavors are all in the right sweetness and really yummy, the cream top is wonderful to taste.",true
"R2Y9PKRF6CGQ7W","B07KFHCYDH","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Jeremy Walls",1,"Hard pass...","Love maple, love yogurt...this wasn’t for me.",true
"R3H0PHB641KKGA","B07KFHCYDH","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Rosalie",5,"Best Yogurt","Thick and creamy and delicious",true
"R3CECIAEQWH21E","B07KFHCYDH","","Reviewed in the United States on April 4, 2021","April 4, 2021",1617516000,"California Consumer",5,"Happy yogurt!","I love 💕 this yogurt!",true
"RVWMKYKGCLZU9","B07KFHCYDH","","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Rob Panciroli",5,"The Best Yogurt","I like the taste. This is the best yogurt",true
"R2C3I4LAOIHD3","B07KFHCYDH","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"Book Collector",5,"A family favorite","The maple flavor is delicious, and the cream on top keeps the yogurt from getting too watery or astringent-tasting. It feels like eating dessert.",true
"RPOEB1I0WH17W","B07KFHCYDH","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Every Breath",5,"Love Brown Cow yogurts","Especially the Maple. Wish more places carried this brand. Yummy!",true
"RC76AT5S3KT19","B07KFHCYDH","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"julia",5,"Best yogurt","The best yogurt I have ever tried",true
"RQ5KME2YW92KE","B07KFHCYDH","","Reviewed in the United States on March 9, 2021","March 9, 2021",1615273200,"Danielle T",1,"Nasty","The flavor of this yogurt to me has nothing to do with what I think maple tastes like. It's kind of sour and just plain gross. I LOVE Brown Cow yogurt, it is my all time favorite, but this flavor is just down right disgusting!!",false
"R3AJ909J6QSB4I","B07KFHCYDH","","Reviewed in the United States on February 8, 2021","February 8, 2021",1612767600,"Kristin Y",5,"Tasty","Really nice maple flavor.My recommendation is to NOT STIR it!If you stir it, it tends to get kind of runny and weird textured.I like to just dig right in.",true
"R2XGF2BQHK14EM","B07KFHCYDH","","Reviewed in the United States on January 12, 2021","January 12, 2021",1610434800,"Tricia",5,"Did the process change?","I have purchased this forever as a treat.The last couple of times though, it has been a little slimy not dense.The flavor is still there!",true
"R2DJDR7NJIGOUT","B07KFHCYDH","","Reviewed in the United States on December 27, 2020","December 27, 2020",1609052400,"scopin4u2",5,"Awesome yogurt","I love Brown Cow yogurt and I always buy the cream top ones. Highly recommend!",true
