"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3GBU8LYAYAXYT","B07L9NV8GR","","Reviewed in the United States on April 17, 2021","April 17, 2021",1618639200,"Sharon D'Ottavio",5,"Just like an Orange Julius","If you're looking for the old fashioned Orange Julius used to get in the mall. This is it. You won't know the difference I love it",true
"R3W2L24VS9NNLQ","B07L9NV8GR","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"LB",5,"Delicious","Tasted wonderful as a smoothie, blended just with milk and ice. Thank you.",true
"R2R09FCLQ07XCI","B07L9NV8GR","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Jackie Paige",3,"Not what I expected","This was more sugary than I anticipated. I wanted a dreamcicle experience. That’s not the product’s fault but the overly sweetness is.",true
"RVE74N608SSQF","B07L9NV8GR","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"andrew mellon",5,"👍","Good flavor",true
"RDWSYOCKGHOPX","B07L9NV8GR","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Janice Lowe",5,"Good but like choc latte better","good taste easy to prepare ever tried it hot like ice drinks sure cheaper than McDonalds",true
"R1P5PRE1LSH2AF","B07L9NV8GR","","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"Trena M (Hage) Hewitt",4,"Makes Tasty Beverage","This powder is great for me.I can make a drink similar to Orange Julius.It just is a matter of adjusting my portions but I am getting there.Happy to have this product available.",true
"R7EJ4F1R9P1CV","B07L9NV8GR","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"william deubler",5,"Great taste","Very tasty like an orange Julius",true
"R3P9GUDME1GV4O","B07L9NV8GR","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"Tyler",4,"Yummy","It tastes great but the only thing is that there was a hole in the package",true
"R15I31DBW689F2","B07L9NV8GR","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"marcialee",1,"This item arrived damaged!All powder mix had spilled out of broken bag in shipment!!!!","It would have been NICE to be able to try this.Since it spilled out due to a broken bag in shipment, we were not able to use it!Request a refund!",true
"R5XAW0BPL72CY","B07L9NV8GR","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Mercy Martinson",5,"Orange Dreamcicle","Product was very delicious but I thought I was ordering orange Julius instead it’s a dream sickle which reminds me of when we used to eat the orange on the outside ice cream and vanilla on the inside those are so awesome well that’s how this case it is very good but sure wish I had an orange Julius!!",true
"R16JMUKR9LMZ95","B07L9NV8GR","","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Jessica",5,"Childhood","Brings me back to my childhood eating orange cremesicals! Delish and very happy!!",true
"R32168Q91WXYTI","B07L9NV8GR","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"M. D.",5,"Orange burst","This is very good...I will be buying another one.",true
"R117504SYBKRWW","B07L9NV8GR","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Aungelecette",5,"Exactly what I expected","This product was so easy to use and the taste is perfect. I got exactly what I expected for a good price. Looking at other flavors now lol",true
"RBDUD3N52938I","B07L9NV8GR","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"cindy pridgen",5,"great","taste great",true
"R2D9M18QQV270M","B07L9NV8GR","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Sandra Gomora",5,"Yummy","Wonderful I like it",true
"RZUX71QID6T5L","B07L9NV8GR","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Kindle Customer",3,"Measurements?","I didn't get any nutrition listed on the pouch.And your measurement for scoops would be helpful if you included a scoop.I don't purchase a product where you have to guess your measurements.I wouldn't buy this again.But the flavor is good.",true
"RS0G4VJWWNMAC","B07L9NV8GR","","Reviewed in the United States on June 14, 2021","June 14, 2021",1623650400,"JG",5,"Makes a great smoothie or malt!","I love the flavor; tastes like a creamsicle I used to get from the ice cream truck as a child.My order was easy to place and arrived on time and in excellent condition.I had no reason to contact the Seller.Thank you.",true
"R2XGTMB0E40USC","B07L9NV8GR","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"adam mulkins",5,"Very good like Jamba Juice","I was worried that this would go to waste but I really enjoy this product. Use milk, soy milk, or even canned milk for better flavor, or you can use water but add a couple of scoops of vanilla ice cream. Very good stuff.",true
"R380UFDX0D5XE1","B07L9NV8GR","","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"Amazon Customer",5,"Good","Un buen producto",true
