"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3NKUUNQ06GSYS","B07LFC7Y5G","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Alice Cundiff",5,"Great taste and texture","It's a little pricey , but I buy a couple as a treat for myself .Love the mango coconut combo and this is really good Greek yogurt ! Nothing else quite like it",true
"R1649UYAHFZQ2K","B07LFC7Y5G","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"R. Martin",2,"Flavourless yogurt","Tasteless.I didn't expect this to be so bland",true
"RR2L6TY7L8OYA","B07LFC7Y5G","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"sue",5,"taste great.","it's like a dessert",true
"R2MH9U25FQQAVS","B07LFC7Y5G","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Marcia Thomas",5,"Deliciousness","Rich in flavorCoconut and pineapple great combinationI loved",true
"R2MVXJKA53SX12","B07LFC7Y5G","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"Kindle Customer",4,"Yummy","Really good, a little tart",true
"R17D3MA4E23NNX","B07LFC7Y5G","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Ant",5,"Made from Unicorns and magical fairy dust","I need more more ....more ..Nounos is magical and perfectly flavored ..my only complaint is the size",true
"R2LIHDLD3UIIEW","B07LFC7Y5G","","Reviewed in the United States on May 8, 2021","May 8, 2021",1620453600,"kellyfaye",5,"yummy!","yummy! besides being expensive, everything else is good! hahaha",true
"R1XRV5MHKKPLYY","B07LFC7Y5G","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Wsp",5,"Creamy but not too sweet","Excellent....creamy, sweet but not too sweet.",true
"R1XV4O7PQD5R6K","B07LFC7Y5G","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Rachel Henry",5,"a great snack or desert.","I recently started buying these and love all the flavors I have tried.",true
"R3MQD61R6RPZMD","B07LFC7Y5G","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Amazon Customer",5,"best tasting yogurt!","I'm only sad that I didn't discover this a long time ago!super creamy, the coconut flavor isn't overwhelming, and the mango puree is crazy good.I also love the fact they put this in a glass jar, so I reuse them for various purposes (like putting plant cuttings in water).I'm totally addicted!",true
"R2X4APCX4898PW","B07LFC7Y5G","","Reviewed in the United States on December 17, 2020","December 17, 2020",1608188400,"taylor evans",5,"Love it","a real treat",true
"R2ZB46NK5DEW51","B07LFC7Y5G","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"Katerina M.",4,"good quality yogurt","I like it but 4 star only because it is not genuine full fat yogurt... I am sick of seeing the governments regulation with with the free fat/low fat stuff to prevent obesity even before it starts. I want normal quality full fat products!",true
"R1V24VR8LK0X6B","B07LFC7Y5G","","Reviewed in the United States on July 16, 2020","July 16, 2020",1594879200,"Natalia",5,"Love it!","First of all - this flavor?! Whats not to love about coconut mango?? This is my second time trying this yogurt and the flavors never disappoint!",true
"R19TQLGDUH6TFQ","B07LFC7Y5G","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"Olivia Watson",5,"Best Yogurt I Ever Had","For a low fat yogurt this is great.I only liked this coconut mango flavor.. The blueberry and peach, to my taste, are just ordinary.Is it environmentally prudent to provide this in a glass/. Theoretically, glass is recyclable but I don't know if it actually happens with this.",true
"R2E9N58AZOMHKO","B07LFC7Y5G","","Reviewed in the United States on June 10, 2020","June 10, 2020",1591768800,"Douglas P. Allen",5,"These are tiny but they are DELICIOUS!","My wife and I love the taste of these, they are the best we've ever had.",true
"R6Y8FZP36BF0F","B07LFC7Y5G","","Reviewed in the United States on April 30, 2020","April 30, 2020",1588226400,"rej",5,"Tropical Treat","Nounos' best flavor--by far! I buy this in bulk when I see them on sale. Born and raised in the tropics of SE Asia so I both love Philippine mango and coconut and this hits the spot. The smaller size is perfect, too, since you can eat 2 and not feel guilty.",true
"RH3JXFB1GNKK1","B07LFC7Y5G","","Reviewed in the United States on March 9, 2020","March 9, 2020",1583733600,"adelineliyang8",5,"like it","I like sweat yogurt",true
"R2AXF6OYHUQUQ3","B07LFC7Y5G","","Reviewed in the United States on January 24, 2020","January 24, 2020",1579849200,"Yamelsi Moreno",5,"Fresh yogurt","Delicious!",true
"R397P1OQ4J4G3W","B07LFC7Y5G","","Reviewed in the United States on December 22, 2019","December 22, 2019",1576998000,"Weilan",3,"It’s alright","It’s alright",false
"R3SHTLWUHSP7PJ","B07LFC7Y5G","","Reviewed in the United States on December 21, 2019","December 21, 2019",1576911600,"oksana",5,"Glass jar yogurt","The best yogurt ever! Also in the glass jar",true
