"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RHVWFLCZYI5CH","B07N1PRCYL","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"J. Van Meter",5,"The new Kite Hill is beyond legit","Kite Hill was really good before but it was expensive. The new Kite Hill... idk what they did to the recipe but I'd go vegan for this stuff if I wasn't already. It's better than anything out there --dairy, almond, soy -- you name it, Kite Hill yogurt has it beat in flavor and texture. I use it for everything now.The size is big enough that the price difference isn't as bad as I first thought. Idk if that was the case before or if the new recipe makes it more worth it but it seems like I'm getting more than I used to, at least with this yogurt (they make all kinds of things).",true
"R1BKEW9Y77QCEU","B07N1PRCYL","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"Necky",1,"NASTY tasting, like a combination of chemicals and mildew","Horrible product completely inedible.I have a highly adventurous palate, but this stuff was some of the nastiest tasting stuff I've ever encountered.I tried and tried to eat it for four mornings straight, and ended up throwing away the remainder.",true
"R1LMLY9I9EWMAT","B07N1PRCYL","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"JMF03",5,"A great substitute for yogurt in recipes..","..since it looks and tastes a lot like yogurt",true
"R13V46LSID04O2","B07N1PRCYL","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"Shallie",5,"PLANT BASED","GREAT PLANT BASED YOGURT. ONE THAT HAS AN EXPIRATION DATE THAT IS NOT WITHIN 5 DAYS OF OPENING. I GOT SOME IN JUNE THAT EXPIRE AT THE END OF JULY. MUCH HEALTHIER THEN REGULAR NON FAT YOGURT. GOOD BUY.",true
"R7YWRJ5EEZ9W6","B07N1PRCYL","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"Natka88",4,"Nice texture, recommend mix-ins for flavor","On its own, I think the flavor is gross. It reminds me of what bread tastes like after it’s been in plastic wrap for a few hours (flashback to grade school lunches!). Howeveronce I mix in a little peanut butter powder, honey, and some berries, it’s great! The texture is nice and with the add ins it’s delicious.",true
"R23RK72SJJSNTL","B07N1PRCYL","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"Team C",1,"What is this company thinking?","I used to love this product and buy it all the time. I do a keto diet and it was very low carb, now they have changed the recipe! Now the taste is not good and now it has like three times the carbohydrates that it had before!",true
"R38GYUZV9A0UJB","B07N1PRCYL","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"GR",5,"Best Vegan substitute for traditional unsweetened yogurt.","Best tasting vegan substitute for traditional unsweetened yogurt! I tried a lot, soy based, almond based, coconut milk based. This brand is the closest to homemade yogurt.",true
"RKHO75FPVO325","B07N1PRCYL","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Maria C.",5,"The best.","Favorite non dairy yogurt on the market.",true
"R5Z4SYNFL60JF","B07N1PRCYL","","Reviewed in the United States on April 20, 2021","April 20, 2021",1618898400,"Michael Lvovsky",5,"Very good, but pretty pricey","Very very tasty. By far my favorite vegan yogurt, pretty expensive though. It isn't as expensive as the Kite Hill cream cheese but it's still too expensive for me to eat every day, great for occasional times when I'm feeling fancy though.",true
"R1EFN3JWEKPVK6","B07N1PRCYL","","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"qoura jones",2,"It’s a NO for me.","This stuff has a very strange taste. It does not taste like traditional yogurt if that’s what your seeking. I didn’t expect anything sweet and super flavorful but this taste was pretty disappointing. I do appreciate the minimal ingredients and lack of garbage in it though.",false
"R5BOS0ZTBIMCY","B07N1PRCYL","","Reviewed in the United States on April 1, 2021","April 1, 2021",1617256800,"Amazon Customer",5,"Niceproduct","Lovely, fresh tasting, milk free yogurt!",true
"R3P4EUAN6V5KNK","B07N1PRCYL","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"John Neidlinger",2,"CAUTION: Starch added in new formula. Likely from corn.","I had a stomach ache for a couple weeks and couldn't determine what was causing it. Nothing had changed in my diet. Then I discovered Kite Hill changed their formula. I'm sensitive to corn and used to eat this yogurt daily. Even. if you're not sensitive to this ingredient, adding starch seems a bit out of step with the clientele and price of this yogurt.",true
"R2JDZKRI51METF","B07N1PRCYL","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"Shopper 81289445",1,"Changed formula, now contains STARCH : (","Been feeling terrible lately and just noticed that they added STARCH to this!!I'm so sad as my diet is already so limited.Doesn't even say what kind of starch it is, which is shady.I see another reviewer confirmed with Kite Hill that it is corn derived, but there is no warning on the label which is extremely irresponsible.So very disappointed.",true
"R3O5XW47LK84ON","B07N1PRCYL","","Reviewed in the United States on January 14, 2021","January 14, 2021",1610607600,"CurlyCook",5,"Best one !!","This my favourite kind and brand of vegan yogurt...it’s a good one .I was able to substitute whole milk yougurt with this one for alll my recipes and sauces too 😍",true
"RJV8G37LNV7NT","B07N1PRCYL","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"B. J. S. H.",4,"Now ""Creamier"" Yogurt Recipe HAS STARCH!Corn allergy warning! Now contains corn starch.","Let me start out by stating, we've been buying Kite Hill yogurts for a few years now (only brand on the market we've found that we could eat without allergens , until now), and absolutely loved the unsweetened plain yogurt, could use it in baking, sauce making, just about anything you could think of, also great by itself!Sadly, Kite Hill has changed their recipe to using a Corn derived Starch*, and I can no longer buy this yogurt, as I and my family have a strong allergy to Corn and its derivatives.( We can and will continue to buy the Greek yogurts as that has tapioca starch which is not a problem for me, but its not at all the same flavor nor texture as the plain yogurt so I can't use it in the same ways).*I called Kite Hill as soon as I saw the ""now creamier"" logo on the side, and saw it listed an unspecified Starch in the ingredients. After waiting a week for Ryan at Kite Hill to call me back, he was able found out from the product team what form of starch was used, he was able to inform me that it was indeed (what I feared) Corn Starch. Ryan said he will be sharing with the team my concern, as I shared that I will no longer be able to buy the product now, after buying two a week for the last year and a half, as it was the only yogurt available.as of Jan 2021",false
"R3AFNVSFD4IV5H","B07N1PRCYL","","Reviewed in the United States on January 9, 2021","January 9, 2021",1610175600,"Michael",2,"9g carbs per serving, not 5.","The screenshot of the nutrition facts on Amazon is incorrect. The product actually has 9g total carbs: 3g dietary fiber, 1g total sugars for a net 6g carbs per serving (170g serving size).",true
