"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2GHY6A5Q6CWA5","B07N1PSLMX","","Reviewed in the United States on May 2, 2021","May 2, 2021",1619935200,"Ellie Andrews",5,"The BEST vegan yogurt by a mile","The BEST non-dairy yogurt, hands-down! From the flavor (pleasantly tart just like regular yogurt) to the texture (pro tip, whisk it in a bowl or give it a vigorous stir in the jar before eating), this is without question and by a mile the best vegan yogurt out there. No weird gloopy texture, no plastic taste. Delicious and creamy. Pricey? Yes. But worth it for anyone who misses yogurt and can’t or chooses not to eat dairy. Buy it!!",true
"R3GH1YW3281PC2","B07N1PSLMX","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"...",5,"HEAVEN - and I dig getting an adorable jar to keep every time","Maybe the people who don't like this yogurt are used to sweeter, less probiotic-filled brands made of dairy?I'm not sure, because I absolutely love this stuff (it's not a pudding consistency, but maybe slightly closer to flan -- it's thick and firm).My favorite was probably the Bourbon Vanilla, then the Blueberry Lavender, and the plain is really good too.However, the absolute BEST yogurt I have ever had in my LIFE was the Culina I just got at Whole Foods in person.It's maybe a new flavor:Pink Grapefruit.I mean, I'm a big pink grapefruit fan, but my goodness, Culina's new grapefruit yogurt is one of the best things I have ever put in my mouth ever.If you have a discriminating, more natural palate and are off dairy (and you can afford it [I only have this sometimes as a treat ... it's even kinda like dessert]), THIS IS THE YOGURT TO TRY.Also, you get a great little jar to keep ;).Also, for what it's worth, I only take a few bites at a time then put it back.I make it last.It's that good, and eating a whole jar at once, though they're small, would be a bit much (full fat coconut).If it's helpful to know, I also like the plant-based Siggi's and the Harmless Harvest (plain esp., but NOT their vanilla) yogurts.So Delicious is okay but a bit too mainstream for me (ingredients, owners, etc.).Forager tasted weird, smoky and awful the times I tried it in the past.Lava is okay, but WAY weirder than Culina.The Culina is truly a sublime, gourmet experience.She also makes expensive little drinkable yogurts.Wow, those are something else, but again, very expensive, very small, so I only got them a couple times for fun.I drink them down in about two seconds flat, so it's a waste.If I were rich, I would have a fridge FULL of Culina.Maybe someday (I doubt I could ever craft something this amazing, no matter how good I am at goodies, so yeah, I'd have to buy it).",true
"R3TBQHWJY9OT2X","B07N1PSLMX","","Reviewed in the United States on March 31, 2021","March 31, 2021",1617170400,"Melo11",5,"Good but too much sugar","This yogurt is delicious but it has so much sugar. In the future i would eat it as a dessert.",true
"R1VXWSD0B07SY8","B07N1PSLMX","","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Ashley",5,"Must have","Best non dairy yogurt I ever had. Grapefruit flavor was amazing . Super think and creamy.",false
"R11JY00WK6TA5I","B07N1PSLMX","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"isabel D.",5,"This stuff is good!","Great flavors and good texture, I get at least two servings out of it. Great alternative to dairy!",true
"R31RKHDOF3TISI","B07N1PSLMX","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Aksana",5,"Best Dairy Free Dessert","I am very picky about my desserts and dairy substitutes, but this one is SO good.It’s very thick, more like a pudding than a yogurt. It reminds me a lot of desserts I ate while growing up in Eastern Europe. My bf who does not believe non-dairy desserts can be as good as the “original” ones, loves it too! Just a note for people who prefer their yogurts to be sweet – Culina adds much less sugar than competitor brands. It’s a huge benefit for me, but I can see how some people may be disappointed.",false
"R2ZY68B7QAK2ZP","B07N1PSLMX","","Reviewed in the United States on February 19, 2021","February 19, 2021",1613718000,"Julio Rodriguez",3,"good texture, not a fan of the flavor","This got put in my whole foods order as a substitution. The texture is pretty good, but I found the taste to be cloyingly sweet (or maybe acidic? It's hard to tell exactly what that cloying flavor is).",false
"R3FGQWWFNFG8CA","B07N1PSLMX","","Reviewed in the United States on February 6, 2021","February 6, 2021",1612594800,"Amazon Customer",1,"Horrible","The most disgusting item I’ve ever ate",true
"R32NSX9Z8DVOOA","B07N1PSLMX","","Reviewed in the United States on January 18, 2021","January 18, 2021",1610953200,"Leah",5,"Fresh and thiccccc boy","This yogurt is the stuff my vegan dreams are made of. I love a thick yogurt. This is IT! This stuff is so delicious topped with granola! The bourbon vanilla is my fave. It’s become a mainstay in our refrigerator, replacing my evening sweet-tooth run for ice cream(thank goodness!). Highly recommended. A bit pricey yes, but this is some high-end, great ingredient, freshy fresh stuff. Give it a try!",true
"R3FS4AIO0QOYU","B07N1PSLMX","","Reviewed in the United States on January 16, 2021","January 16, 2021",1610780400,"Kindle Customer",1,"Waste of money","Finally opened this the next day I got it and it had mold in it! Which is crazy. Not worth the crazy price.",false
