"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RJDJ2TUUZVDQE","B07N1PTG6D","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"B. Thomas",5,"Amazing!Tastes more like Greek yogurt","I'm amazed this is dairy free.It tastesand has the consistency of Greek yogurt.It's is a little tangy if you are not used to that.",false
"R21E19FK0A7MM6","B07N1PTG6D","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Rebecca Sadler",5,"Expensive but worth it!","Other than being quite expensive, this yogurt is an ideal replacement for the dairy alternative.Love that it’s plain with no added sugar so I can sweeten/flavor to taste.",true
"R3U9SWC3JF4M3Q","B07N1PTG6D","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"handicapmom",5,"Great flavor and texture","The only negative thing I can say is I wanted to order more than 1, but the quantity was limited.",true
"R1KX3WH77V9IW4","B07N1PTG6D","","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"maria S.",5,"Perfect substitute","These taste just like plain cow's milk yogurt.I eat them all the time.These are not sweet and could be easily substituted in any way in which you would have used yogurt in an old recipe.There is not a taste of coconut like in other coconut yogurts, which I like in this brand.It is thick and has the consistency of cow's milk yogurt.I am planning on using this to stuff some pasta in the place of ricotta cheese and I think that it will be perfect with some basil.Highly recommend!",true
"R2NNGU5QJNL0L3","B07N1PTG6D","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Valley",2,"Expensive lumps of bland paste.","I wasn’t impressed with this product. It’s thick and clumpy. It’s not the least bit creamy. And the flavors are bland. Not worth the money.",false
"R1TMGSP74A22RG","B07N1PTG6D","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Bess",4,"Tastes awesome but expensive","Tastes awesome, a bit tart but good. Glass jar is recyclable but it's a bit expensive.",false
"R1F4EMJS27PG0F","B07N1PTG6D","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Adria 💜",5,"Love it","Best dairy free (coconut ) yougurt that I’dever try!! Firmness Great taste amazing texture",true
"R264WX4IDLEYYI","B07N1PTG6D","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"R. York",4,"Good dairy substitute","I bought this to try after I couldn’t get the CoYo brand I normally do. It’s very thick and tastes ok. I’ve gotten the plain and Bourbon vanilla before. I’m not a huge fan of coconut but it’s not a strong coconut flavor. The texture is more like custard than yogurt. Quite thick. I normally use it to make overnight oats and they turn out very well with this yogurt.",true
"R1TX6VIW160Y7X","B07N1PTG6D","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"Md",5,"So delicious!","Such simple ingredients. I love this yogurt. So happy it’s at Whole Foods now.",false
"R249BA6K1BT4D6","B07N1PTG6D","","Reviewed in the United States on January 3, 2021","January 3, 2021",1609657200,"TeaBri",5,"They’re NOT dairy?!","A bit pricey, I think, but I don’t miss dairy yogurt anymore! LOVE these!!",true
"R2WC0ZJB9SVRUF","B07N1PTG6D","","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"CLL",5,"LOVE this yogurt","I am allergic to all forms of dairy.I have tried many, many diary free yogurts and have have tolerated them at best.... However, when I found this diary free coconut milk yogurt I fell in love!I was very skeptical at first about how it would taste.Surprisingly it tastes and has the texture of a good thick, tart, Greek yogurt.The price is a bit steep but quality products usually are...I purchased the unsweetened plain and it has become my favorite after dinner treat.I mix it with frozen fruit and a bit of grain free, sugar free granola and it makes the perfect yogurt parfait.It is quite a bit more expensive than I like but when you need a good Greek style dairy free yogurt this one is the one I recommend.",true
"R1WTSDNK7DVZ89","B07N1PTG6D","","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Brenda Burch",5,"Very yummy.","This yogurt maybe a little pricey but ut is delicious and it isn't a overpowering coconut flavor. Love that it comes in a glass jar.",true
"R2RD13QO1UWVE3","B07N1PTG6D","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"B",5,"Best dairy free yoghurt in existence","Best diary free yoghurt out there. Super thick & tastes tangy, just like real yoghurt (of what I can remember)",true
"R271RJQ1M5B58M","B07N1PTG6D","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"maplover",5,"Wonderful, but very pricey","I bought it not knowing the price. It is delicious but cost prohibitive for regular consumption. The tase is the closest thing to sour cream I have found.",true
"R1OX5VP4UGU520","B07N1PTG6D","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Amazon Customer",5,"Absolutely love it","The best yogurt on market so far ! No sugar , Greek style and dairy free , great probiotics.....since I nurse and my daughter cannot have dairy it is so difficult to find a yogurt with low or no sugar and with probiotics with good taste .this yogurt is so close to Greek yogurt it’s unbelievable! First you have to mix it lit bit I add some chopped strawberries or blueberries for my older non dairy daughter and it’s great ,finally no sugar just dimple clean ingredients.it’s pricey tho",true
"R33ZQ25GWYC472","B07N1PTG6D","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"ec",5,"This brand is amazing.","DELICIOUS. This brand is incredible. Better than non-vegan yogurt. I use this plain flavor in a veganized recipe for black bottom cupcakes (the kind with the cream cheese middle). Works great. The packaging is awesome…..I commend the company for selling their product in nice, plain jars that I can reuse. I love the other flavors, as well. In particular, the vanilla is very decadent.The plain is also good with either fruit or chocolate chips stirred in.",true
"R31XXK5SY4Z1HA","B07N1PTG6D","","Reviewed in the United States on July 7, 2021","July 7, 2021",1625637600,"Shlomit",5,"You should try this","I love this coconut yogurt! Delicious flavour, not too sour not too sweet.",true
"R14YN2LAOIV6EU","B07N1PTG6D","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Kate",4,"Low Carb + NO starch and Fillers","This is probably the lowest carb yogurt I’ve seen (including full fat plain Greek yogurt) and there’s no starch or sketch additives- great for keto or clean eating in general. I personally don’t love it plain but don’t want the sugar either so I add stevia and vanilla collagen with some nuts and it ends up being a good little parfait. The only grievance I have with it is that it isn’t consistent by container- some more liquid, some with a strong coconut flavor, others not. All in all it’s good though and I’d recommend.",true
"R1UCA97JG7LZ9C","B07N1PTG6D","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Susan Heriford",1,"Yuck","Coconut excess and bad aftertaste and too too tangy.",true
