"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R38TGT2K4L4QTQ","B07NSV2NSS","","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Tallameasha Johnson",5,"1 word: AMAZING 👏🏾","This stuff is amazing and I swear by it!! I use it for many breakfast and snack staples! I'm so upset that it's OUT OF STOCK but, I guess it's because everyone else loves it too!! 🥰",false
"R1Y5DJRCCWDOZ6","B07NSV2NSS","","Reviewed in the United States on August 29, 2021","August 29, 2021",1630216800,"Mia S.",5,"Delicious","Some of the best granola ever.",true
"R2AUL1OFPUIDHJ","B07NSV2NSS","","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Jacqueline Richeson",5,"Best granola ever","The flavor is so so good. And the perfect crunch.",true
"RLQDNOWOG5J78","B07NSV2NSS","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"jack hendrix",5,"Good","Good",true
"R1FQ4NLD42Z3A8","B07NSV2NSS","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"Kindle Customer",5,"Perfect","This is perfect for my acai bowls and is great as a snack too.",true
"R4OMH9RHGEFIC","B07NSV2NSS","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Nikki",5,"Great taste","Great taste",true
"R2UDFIC3F1U12W","B07NSV2NSS","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"ivy",4,"Fresh with good grains","Easy breakfast, good flavor. I eat dry with cup of coffee. Would like to try fruit flavors.",true
"R13SS67QQX2NBE","B07NSV2NSS","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Margaret",5,"Almond butter granola","Absolutely delicious. Will definitely buy again.",true
"R3J3FOPOG0N2UL","B07NSV2NSS","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Jenya",4,"Tasty","This is not the best granola on the market, but it s tasty. The maple flavor was present and not overpowering. I prefer my granola with more nuts. One star off for the price- it s a bit too expensive.",true
"R2VNUY9LZFQB42","B07NSV2NSS","","Reviewed in the United States on June 14, 2021","June 14, 2021",1623650400,"Anonymous ",1,"stale and overpriced","stale and overpriced",true
"R22B02XL0TJEV5","B07NSV2NSS","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Kimyotta Shepard",4,"I'm a fan","Would purchase again",true
"R2XX1J5RGMVJL7","B07NSV2NSS","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Shenisa Mitchell",5,"The best Maple Almond Butter Granola.","Maple Almond Butter Granola taste wonderful and fresh. The price was great and I received the product on time.",true
"R1ZY0OP1PJ1RJ8","B07NSV2NSS","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"T. M. White",5,"Almond Butter Good?","I am liking this Maple Almond butter flavored granola, and I am not an Almond butter fan. This granola really surprise me on how good it tasted, could not stop snacking on it. It not overly sweet, organic, and it’s vegan for the vegan followers out there. It’s a good reasonably price, would definitely buy it again.",true
"R2RO95FS7Q5GL9","B07NSV2NSS","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"Lori A.",5,"basic but good","This granola isn't fancy but tastes great.Good rich flavor and this particular kind has always been fresh.",true
"RJ551XBV837Q3","B07NSV2NSS","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Judy from Mass",5,"Nice maple flavor","Delicious maple flavor- great in Vanilla yogurt.",true
"R9C5Y49GVE8I7","B07NSV2NSS","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"McSusie",5,"DELICIOUS!","This is a delicious cereal.Sometimes I eat it with Silk Almond Milk in a bowl.Other times I have it with fresh fruit, yoghurt and honey in a pasta type bowl.It’s delicious.I’ve already ordered more!",true
"R1KDTS3RVP7RYA","B07NSV2NSS","","Reviewed in the United States on February 14, 2021","February 14, 2021",1613286000,"valmur",5,"Taste of Maple","Always enjoy maple flavor, with healthy granola",true
"R3P767FSJ5XBG9","B07NSV2NSS","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Arthur Massei",5,"Best for Yogurt Parfait","Just love the 365 brand of Maple Almond Butter Granola!Tasty and fresh out of the bag.",true
"R1AHK1FBLCBIUB","B07NSV2NSS","","Reviewed in the United States on February 2, 2021","February 2, 2021",1612249200,"Simon C Webb",5,"Tastes great very filling","These taste great",true
"R3UPGOCVHLAFRX","B07NSV2NSS","","Reviewed in the United States on January 26, 2021","January 26, 2021",1611644400,"Amazon Customer",5,"The best!","The best granola I have tasted and purchased!!",true
