"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R8YWZ9PAG37M8","B07QFFXMZX","","Reviewed in the United States on February 6, 2020","February 6, 2020",1580972400,"Leeli",3,"Doesn’t taste as good as it sounds.","I didn’t like the taste very much. Nice consistency and good price though.",true
"R23RN86I4KEJ46","B07QFFXMZX","","Reviewed in the United States on January 4, 2020","January 4, 2020",1578121200,"Sophie Kamuf",5,"Super tasty","My favorite Greek yoghurt!",true
"RCYG1P2O27P7A","B07QFFXMZX","","Reviewed in the United States on August 5, 2021","August 5, 2021",1628143200,"Adam",5,"Kid Friendly","It is not very Chai forward, but it is good and also kid friendly. This is a great option for people who seek out 'no added sugar' foods.",true
"R3KV47L35MC6TJ","B07QFFXMZX","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Laurence Bowman",4,"Quite good","Quite good",true
"R2CL1XYGQVVY09","B07QFFXMZX","","Reviewed in the United States on February 25, 2021","February 25, 2021",1614236400,"Amazon Customer",5,"Delicious!!!","New favorite yogurt.It is amazing.Tastes so good.",true
"R1CVU0AQNSPIG2","B07QFFXMZX","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"Cait",3,"Right texture, wrong flavor","Dislikes the flavor- not chai, weird sweetness; texture of the yogurt is nice. Would buy again in a different unsweetened flavor",true
"R39GN5XUTCF9XO","B07QFFXMZX","","Reviewed in the United States on November 29, 2020","November 29, 2020",1606633200,"Ash",1,"No Chai Flavors","This yogurt lacked any spice or Chai flavors.",true
"R2RQOE1UUVUD5N","B07QFFXMZX","","Reviewed in the United States on September 14, 2020","September 14, 2020",1600063200,"Amazon Customer",3,"tastes bland","mediocre at best...",true
"R30V8QRW45H0I2","B07QFFXMZX","","Reviewed in the United States on July 28, 2020","July 28, 2020",1595916000,"Bella",5,"Love it","Love this stuff",true
"R28VQZ0YJTOIK0","B07QFFXMZX","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"AGP395",1,"It tastes bad","I couldn't it, it tastes terrible",true
"RBLLYH0XRW5QO","B07QFFXMZX","","Reviewed in the United States on April 17, 2020","April 17, 2020",1587103200,"Shelley ",5,"Yogurt","I’ve tried many yogurts and this one has been one of my favorites. Still try other kinds , but still come back to this one. I like the vanilla bean on cereal and mixed with berries. Kind of like a dessert for me. The No Sugar one is okay for a nonsugar yogurt, so I just alternate the two.. Just a personal liking😋",false
"R2N5KGVY6P9SN1","B07QFFXMZX","","Reviewed in the United States on March 22, 2020","March 22, 2020",1584856800,"Amazon Customer",4,"very good","great texture, taste",true
