"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1HWLE0O18X7ZE","B07SQB7GF2","B08JVNYKJF","Reviewed in the United States on September 19, 2021","September 19, 2021",1632031200,"J H C",3,"Raised blood sugars so be watchful","I bought from Amazon Catalina crunch and wanted it to work asmy type 2 diabetes as cereal that’s gluten free and low carb . I would have a serving after a very low carb breakfast that had greatas my low carb numbers in the past many times we’re confirmed by checking my blood sugars religiously for 30 years and know exactly what cause me to go hi and low . I searched the web to see if I were the only person having much higher than the nutritional values show and found I wasn’t alone at all . There was a verifiedstudy of many low carb cereals effect in blood sugars and sadly Catalina crunch came in at the worst of all tested well known brands. Sooooo be careful and watch your blood sugars when either eating with other low carb foods or more than a small serving by itself .",true
"R21AMDA3HOFK8E","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Anna Brennan",5,"Great taste!","Great taste!",true
"R14T4O9YS8M1KF","B07SQB7GF2","B08FF88Q65","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Ted",5,"Delicious","I love the mint flavor of this low carb cereal.I look forward to it every morning.",true
"R14LC7IV0UFLAU","B07SQB7GF2","B08J22869W","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Inga C Olson",1,"Flavor","This cereal was soooo gross. Never again.",true
"R38WAKS4A2JVZ2","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"christine ross",5,"Yummy keto cereal","Love this low sugar keto cereal!",true
"R1QQNMCJHRJNPV","B07SQB7GF2","B08CJLXVMZ","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Kay",3,"Not very tasty","Didn't like the taste",true
"R2X5RN0RD4W33K","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"Deborah Harrington",4,"good crunch","like that it is Keto friendly and tasted good",true
"R3K2GPLTY6ROBH","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Rocio ware",1,"Not good","I wanted to like this. It’s just not tasty at all 😌",true
"R2GXR8AUU7JVBJ","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"HT Barkman",5,"Yummy source of protien. And fiber","I love the flavor and crunch. Its very pricey but kinda worth it when you are watching your carbs and have a sweet tooth",true
"R2VJKRC030VEUJ","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Donna Drapatin",5,"Healthy nutritious good source of protein","Delicious, nutritious use as cereal. Very satisfying at just a half cup serving. Absolute necessity as part of a healthy eating plan in our daily lives. Just wish the price was not so high. We seniors on fixed incomes must shop wisely. It’s a must have for usin any case.",true
"R16IZAEASFD3EK","B07SQB7GF2","B08CJL9P6Y","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Erik Knight",5,"Tasted better than I expected","For a healthier version of cereal, this was definitely more flavorful than most I tried. No complaints from me",true
"R2K96JDHRT452K","B07SQB7GF2","B0855DYXTG","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Emma",4,"Tasted okay, still spiked blood sugar","I have type 1 diabetes and I'd been looking for a cereal that satisfied my craving for something crunchy and sweet, and Catalina Crunch fit the bill pretty well. Tastes okay, obviously not like real cereal and it has a strong sugar-substitute taste, but I don't mind it. HOWEVER it's interesting to me that this is marketed as being keto but I still need to use insulin for it - without it, my blood sugar would still rise significantly, so I'd be interested to see how people on a keto or low-carb diet are affected by it.",false
"R1HHW20W03O33O","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Kristina Garcia",1,"This stuff tastes awful","The taste and texture is awful. Its cinnamon flavored cardboard. Very disappointed.",true
"R1RTT30L8DW4DL","B07SQB7GF2","B08CJLXVMZ","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"jason gibbons",1,"Not good.","Dry, expensive and bad cereal.",true
"R1751AS9N2OBON","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Jessica",1,"Not worth it","Taste horrible and leaves a weird film in your mouth. I rather not eat at all than eat this",true
"R1Y9EPV46OPK6X","B07SQB7GF2","B08CJL9P6Y","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Kristin Beer",5,"Chocolate Banana is the best!","Chocolate Banana was definitely my fave. Maple waffle has a funky after taste but it wasn't all around that bad. This cereal is making my pregnancy after my gestational diabetes diagnosis so much better! I can actually eat cereal!",true
"R1NDRIDHAVDF3P","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"A. Espeut",5,"Expensive but tasty","This tastes so much like Cinnamon Toast Crunch it’s crazy but the protein boost makes it filling like cereal never is. I can’t finish a full serving but that’s fine with me. It’s just such a small bag.",true
"R2F1QCCRO3T2ZM","B07SQB7GF2","B0855DYXTG","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Kindle Customer",4,"Keto food","I have previously bought this cereal nothing g new to add",true
"R1RT2S5FXPSTX9","B07SQB7GF2","B08CJL9P6Y","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Gabby",5,"This stuff is so good","I absolutely love this cereal. Granted, I eat it purely as a snack/by the handful rather than with milk but the flavor is fantastic and I feel good eating it. I’m a health nut and it’s hard to find good tasting and good for you products and this one really does it well!",false
"R25RK8KUXOD4Y9","B07SQB7GF2","B07SSD6DLP","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Kindle Customer",5,"Are people Crazy?this is good!👍👍🌟🌟🌟🌟🌟","This is good! The Cinnamon toast is anyway had not tryed other ones no sugar free after taste its monk fruit i like it its a 1/2 serving thats 7 servings per bag i only paid 7 dollars and some change for mine and i will be getting it again its keto some is so much worse one then this all take this one anyday over them the bad reviews scared me i read after i bought taste it right out of bag and thought those pe9 are Crazy this is 👍 good so it up to u guys. To judge some love it and some dont out of over 8000 people 4 stars do👍👍🌟🌟🌟🌟🌟❤❤❤❤❤Thank you!",true
