"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2L81V8EIB8MXX","B07X4GF4ZN","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Chitlj",5,"Is good for occasional snack","Yummy, creamy indulgent!",true
"RJEZTH9AI92TO","B07X4GF4ZN","","Reviewed in the United States on January 26, 2021","January 26, 2021",1611644400,"Marshmallow Pie",5,"Nom!","Sooo delicious. I can’t keep these in my fridge because my family eats them so fast. The vanilla is our fave. It’s tangy, not to sweet and creamy and the containers add a great size.",true
"RU42VIA32IOY3","B07X4GF4ZN","","Reviewed in the United States on January 22, 2021","January 22, 2021",1611298800,"Warnah",5,"The best yogurt in the world","You have never had nor will ever have yogurt better than this.",true
"R282MF20V8KUXG","B07X4GF4ZN","","Reviewed in the United States on January 20, 2021","January 20, 2021",1611126000,"B Jackson",5,"Yummy","Tastes great",true
"R3LAMR80FH7RB4","B07X4GF4ZN","","Reviewed in the United States on October 25, 2020","October 25, 2020",1603605600,"Sandy",5,"Great flavor perfect to add to pancake mix","This vanilla is really good. It’s great to eat alone and is also a good addition to my homemade pancake and waffle mix.",true
"R2D9MC82FESAOG","B07X4GF4ZN","","Reviewed in the United States on October 6, 2020","October 6, 2020",1601964000,"SaladEatingCat",5,"PERFECTION","The perfect amount of flavor and creaminess. And lower sugar to boot. It's our FAVORITE style. Try this and the strawberry-rhubarb. Delish.",true
"RA93HWWC0BIQE","B07X4GF4ZN","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"Lisa G.",5,"Best. Yogurt. Ever.","Indulgent, creamy, smooth and without the “bite” that Greek yogurt normally has. This has ruined all other yogurt for me. I can’t ever go back.",true
"R1FGYQHSVVL2QF","B07X4GF4ZN","","Reviewed in the United States on August 11, 2020","August 11, 2020",1597125600,"Curt Vandenbosch",5,"So good!","Delicious! High protein with relatively low sugar",true
"R2G9H0VTKKRX4H","B07X4GF4ZN","","Reviewed in the United States on August 10, 2020","August 10, 2020",1597039200,"Stacy Hacker",5,"Perfect for Parfaits!","I use this in parfaits and usually i have to add honey but not with this one, it is perfect!",true
"R3II41GZC36LVE","B07X4GF4ZN","","Reviewed in the United States on July 20, 2020","July 20, 2020",1595224800,"Trynewstuff",5,"Low carb breakfast that feels like a cheat!","Hands down, the creamiest and best brand!I ate skyr in Iceland and this feels like the real deal.Lower sugar, high protein and vanilla is my fave.I don’t care for the berry ones, but will get them if they are out of vanilla.Put granola, or fruit or cacao nibs and this is like the most amazing breakfast or snack for few carbs!!!",true
"RN39N7T6OGHT0","B07X4GF4ZN","","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"californiakisses",5,"This stuff is delicious, but package is kind of fragile","This is my favorite yogurt. I eat it almost daily and just don't get sick of it. I like the regular Vanilla one by this brand too, but the extra creamy version is my favorite.The only issue I can find is the packaging can be kind of delicate, especially if being delivered. I have had to request refund many times for these where there was a hole punctured in the top by something, or the packaging is coming unwrapped from around the bottom part of the yogurt container, creating a space for air to get in and for it to spoil. Or, because the packaging is almost like a thick paper rather than plastic, I have also received a few where there are dark spots on the outside of the packaging due to the yogurt leaking through.So, check yours carefully when you receive it because these issues are unfortunately pretty common. I will still buy it because it's absolutely delicious but the packaging could use some work for sure.",true
"R7LX51IFERG5I","B07X4GF4ZN","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"JoCee",1,"Meh","To sour",true
