"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RZ8IVU86K00","B081BFY53M","B081BFY53M","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"Nicholas Daquino",1,"Not very good","Very bad taste !",true
"R2OOR4EXQ5BULQ","B081BFY53M","B081BFY53M","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"brianb",1,"Bad color. Even worse taste.","Wow. These are really bad. These do not taste like yogurt covered. They taste like stale sugar coating. Just awful. Do not buy. The pictures look like what they should be but the product was a gross shade of blue green. That wouldn’t have been bad I guess, but the taste was really awful.",true
"R39FI69RS64LTX","B081BFY53M","B081BFY53M","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Heather Zaiger",2,"Pass","Not a fan. Weird and unpleasant flavor that does not remind me of “blueberry.” Would not recommend.",true
"R2JZG1BQW583TL","B081BFY53M","B081BFNDVK","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"Jimmy D Williams",5,"Delicious","Absolutely, they are delicious and lucky people that I shared with also went beserk and wanted to know where to get them 🫐",true
"R294OM7ACFCOMS","B081BFY53M","B081BFY53M","Reviewed in the United States on February 2, 2021","February 2, 2021",1612249200,"Doc Jackson",1,"because I can't leave ZERO stars. too much blue not enough berry","These are poor quality and do not really taste like blueberries. In addition, the sugar on the outside completely overwhelms any potential blueberry at the center. The blueberries in the center are puny to say the least",true
"R2THC2EIBUOJ2V","B081BFY53M","B081BFY53M","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"Barbara A Campbell",1,"FAKE BLUEBERRIES","HORRIBLE DON'T WAIST YOUR MONEY DOES NOT EVEN TASTE ANY THING LIKE BLUEBERRIES",true
"R2GYUEO1957Q9X","B081BFY53M","B081BFY53M","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"Tinamarie",4,"Ur paying for less quantity then expected when ordering for the price not to mention came dammaged.","Very yummy not to mention good sorce of calcium but not as big of package I was assuming for the price. Not to mention pagaging damaged causing smashed product.",true
"RQ86ADC7VIY3R","B081BFY53M","B081BFY53M","Reviewed in the United States on November 28, 2020","November 28, 2020",1606546800,"Stef",2,"Disappointing","Mostly blueberry tiny pieces & flakes with yogurt coating. I was expecting whole berries no minuscule pieces.",true
"R2VND54O9AQ2KP","B081BFY53M","B081BFY53M","Reviewed in the United States on November 9, 2020","November 9, 2020",1604905200,"Dennis McArthur",1,"Way too sweet.","How can you go wrong with Blueberries and yogurt? Make the snack so sweet that it becomes unenjoyable.Good idea, bad execution.",true
"R2U4F3MEXCKRAC","B081BFY53M","B081BFY53M","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"Barbara G.",5,"Good","Very tasty",true
"R36M75N583FVRD","B081BFY53M","B081BFY53M","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Maria Ramsey",5,"Need more ice in packing","They tasted delicious justmelted",true
"RM7W7LQBD7K1I","B081BFY53M","B081BFY53M","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Anita",1,"They melt in hot weather!!!!","Do not order in the summer if you live in a hot climate.I should have realized what would happen.The company did try to keep them cool, but it didn't work.They arrived a mushy mess. I was given back a credit to my card.",true
"R2H6M8S99KNV7U","B081BFY53M","B081BFY53M","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Amazon Customer",5,"Twas a sweet yet healthy birthday gift to a friend.","Birthday gift.",true
"R15HXNBTS8WPDO","B081BFY53M","B081BFY53M","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Stephanie Oswald",1,"Horrible","Not sure why but they have a spicy flake taste to them...and if you can get over the horrible taste, not much berry to be found",true
"R4C3S5X6QQBCD","B081BFY53M","B081BFNDVK","Reviewed in the United States on August 29, 2021","August 29, 2021",1630216800,"Kindle Customer",2,"Yogurt?","This is so sweet. It tastes more like white chocolate to me.",true
"RQS24V5K7F4G7","B081BFY53M","B081BFW7R4","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"really",5,"Just WOW","What an awesome flavor that makes me feel less guilty too.I love blueberry and the yogurt coating is really good.",true
"R3HJKZQHXKR8BN","B081BFY53M","B081BFY53M","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"RVing the USA",1,"Melted and cannot contact seller","Received and half of the package was melted and the ice pack was hot.Being I cannot return I cannot cantact seller.The last package was good even though the ice package was warm.",true
"R3I0PYOAM7DR8W","B081BFY53M","B081BFNDVK","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Greg Martin",1,"This item came as a melted blue block which was inedible.","The yogurt-covered blueberries came as a melted block rather than independently covered berries. It was so hard that we could stand the package shown on its side. I contacted the company and they said they would get back to me but after three weeks I gave up. We buy yogurt-covered raisins for my granddaughter all the time and I thought this would be a great variable for her.I would not order again.",true
"R2G5MXJQ9AUYLB","B081BFY53M","B081BFW7R4","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Sandy",3,"Not the color of blue in picture","These were okay. I love the Greek yogurt covered cranberries and thought these would be delicious too. They were a very fake blue color. Probably won’t buy again",true
"R3QQ5UUDGER1Q4","B081BFY53M","B081BFY53M","Reviewed in the United States on May 12, 2021","May 12, 2021",1620799200,"Kathleen G. Delacalzada",5,"A great treat.","Thank you because the product didn’t come out melted and messy.",true
