"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R34JGCWEWWPQR4","B081DKMZTV","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Shana",5,"I love it","I love it",true
"R2XPRFLEJFEBTT","B081DKMZTV","","Reviewed in the United States on December 12, 2020","December 12, 2020",1607756400,"Megan",4,"Meh just ok","Thickness is a little bit watery but flavor is subtle.",true
"R1W6F1BV2LX4XT","B081DKMZTV","","Reviewed in the United States on November 11, 2020","November 11, 2020",1605078000,"Ms. Lenora",5,"It was very light and full of flavor","I absolutely loved this and would prefer this over regular yogurt.",true
"R1P65QVKRG104P","B081DKMZTV","","Reviewed in the United States on October 16, 2020","October 16, 2020",1602828000,"Tammy",1,"No go for me","Different. Chalky taste.",true
"R116C8SAMJ531R","B081DKMZTV","","Reviewed in the United States on August 19, 2020","August 19, 2020",1597816800,"Iloveamazon",5,"Perfect","Refreshing and delicious. They really nailed it with this yogurt. The flavor, the texture, and it’s not overly sweet. Love this!",true
"R2EIK7GFBN9T3L","B081DKMZTV","","Reviewed in the United States on July 1, 2020","July 1, 2020",1593583200,"Susan",5,"Delish!","Yum yum yum. It isn’t super sweet, which is refreshing. Clean product and low in sodium. New fave for me.",true
"R2INELNUBGKQAO","B081DKMZTV","","Reviewed in the United States on April 21, 2020","April 21, 2020",1587448800,"A+ shopper",5,"A+","Amazing!",true
"R248RU4LL3Q9LO","B081DKMZTV","","Reviewed in the United States on April 21, 2020","April 21, 2020",1587448800,"I am",1,"Horrible Flavor and Texture","II did not like the taste of the prroduct the texture was like slime!",true
"RDVWYGN018BFX","B081DKMZTV","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"michele schutt",2,"Very Average","It was okay but not something I would buy again.",true
"R15TG1SQ04QJYU","B081DKMZTV","","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Frank O.",5,"Delicious but way too expensive","I absolutely LOVE this yogurt!I cannot describe the taste but it is so good, I love the texture of it too!The other thing I love about this yogurt is that it has the LOWEST fat content compared to other plant based yogurts. The problem is that it's hardly affordable, especially if you have an entire family that loves them too ... It's over $50 just for a week of yogurt and heaven forbid you eat two containers a night. For the average family, it's just not practical to purchase regularly but we do still purchase it as a special treat.",true
"RJRS6AZDQJJHD","B081DKMZTV","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"LC",5,"Outstanding vanilla flavor","You can actually see, taste, and smell REAL vanilla in this little cup and not the artificial kind! The yogurt itself tastes luxurious compared to other vanilla yogurt I’ve tried. It is pretty light, neutral and non acidic in taste. It does have added sugar but it’s not too sweet like some other yogurts with added sugar. It will go well with so many toppings. It’s pricey, but worth a try if you’re curious. I would stock up on some if it goes on sale.",false
"R1RAQZCYCULTKX","B081DKMZTV","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Neringa",5,"Vegan!","Our family absolutely loves this yogurt! Wonderful alternative to dairy!",true
"R3C5LZYK92OMCW","B081DKMZTV","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Amps",1,"Very little flavor","Not a good yogurt substitute.Too light , not creamy and very little flavor.",true
"R2UGXDVQ8KLZQT","B081DKMZTV","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"chockes69",5,"Healthy","This is a quality non dairy product with an excellent taste and consistency.",true
"R2OT8NTWYXJ3K0","B081DKMZTV","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Darryl E. Williams",5,"Want a Non-dairy, Vanilla Flavored Plant-based Yogurt? This one is Among the Very Best.","I mixed this one up with a non-dairy protein shake, and found that I liked it even more.",true
"RZ6SYELHK34GK","B081DKMZTV","","Reviewed in the United States on March 9, 2021","March 9, 2021",1615273200,"Jacquelyn T. Collier",1,"Not good","The taste is to vanilla bean in my opinion you can tell it’s full of funny tasting STUFF!! Very loose not thick. If you like coconut yogurt try another brand. The water is delicious may need to go back to the lab on this one",false
"R75UEI4B2AADX","B081DKMZTV","","Reviewed in the United States on January 18, 2021","January 18, 2021",1610953200,"Amazon Customer",1,"Disgusting","Disgusting",false
"R32O9MTEPH3AQ3","B081DKMZTV","","Reviewed in the United States on January 2, 2021","January 2, 2021",1609570800,"S. Houghton",5,"LOVE","Really thick and creamy and delicious.The first non dairy yogurt i tried that didn't taste or look like non dairy.At only 90 calories,im really happy to have found this yogurt.",true
