"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RWKQEJHMI7R28","B081DKMZXJ","","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"M. Marro",5,"Kite Hill Greek Style Yogurt is the best","Kite Hill Greek Style Yogurt has a rich flavor and thick texture",true
"R23Y5LKBIRHUQO","B081DKMZXJ","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Kelsey",2,"Weird taste","Tastes like sunscreen",true
"R2NTW0ABYTXTCL","B081DKMZXJ","","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"carri jay",5,"fantastic in recipes or by itself","Works as a perfect replacement for dairy-based Greek yogurt in every recipe I've tried. Delicious with fruit and granola.",true
"R10LM5ON3JWTKD","B081DKMZXJ","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Allie",1,"Tastes like burned almonds","Really awful flavor that stays on your tongue.",true
"R3L82ZNKAGLRKQ","B081DKMZXJ","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Furngirl",5,"Great sour cream sub","This is listed as a Greek Style yogurt. It's not quite as thick as true Greek yogurt but very close. I use this in my smoothies. It's a great sour cream substitute for non-dairy or vegan lovers. It's even a pretty good sub for cream cheese in some recipes. I keep this on hand. It's great for add-ins too.",true
"R1GBO4PG57P8E2","B081DKMZXJ","","Reviewed in the United States on May 23, 2021","May 23, 2021",1621749600,"Tavi S.",1,"Disgusting","This tasted putrid. It’s hard to describe but it’s a very overpowering taste, it’s like biting sour cardboard. I tried two more tiny bites and couldn’t stomach it. I’m not picky when it comes to yogurt I usually dress up plain high protein/low sugar yogurt with granola and fruit. I can’t imagine trying to mask this with other foods it’s so strong in the worst way. Don’t waste your money.",false
"R11FTTLH9FY6IY","B081DKMZXJ","","Reviewed in the United States on May 4, 2021","May 4, 2021",1620108000,"Donna Lynne Strong Brott",4,"Grainy texture","The texture was grainy. I am much happier with Foger’s cashew.",true
"R3NSPOV2C5X1QV","B081DKMZXJ","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"MJS",5,"THIS IS IT","This is the best vegan yogurt I've had. I love the taste, texture, and flavor—it's got some FUNK. Lots of Bitter Bettys commenting here that it's the worst vegan yogurt they've had. They're just not ready for this jelly. That's all. More yogurt for you.",false
"R2M9ZXYR50IRDK","B081DKMZXJ","","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Kat Z",5,"Tasty Dairy Free Yogurt","This is a tasty and delicious dairy free yogurt. I used it to make cucumber yogurt sauce for some falafel I was making.No one really knew the difference. I am glad that we can now make things everyone in my family can eat.",true
"R3V9Y8VKAKWURK","B081DKMZXJ","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"Cynthia Reifler Flores",5,"Great taste and texture!","This is delicious!!!!! So glad to have found an unsweetened, plain, vegan Greek yogurt!!!!",true
"RAKZPWZ7NK4VE","B081DKMZXJ","","Reviewed in the United States on April 11, 2021","April 11, 2021",1618120800,"dana ware",5,"Closest to Greek style yogurt","Great taste and thickness",true
"R2QKBB055YM90N","B081DKMZXJ","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Ada",5,"Decent macros and great in meals","If you want to eat unsweetened yogurt straight out of the tub, I don't know what to tell you. This is sour and strong. It is, however, delicious when used creatively and the macros are pretty good for a vegan greek yogurt; the protein content per serving is actually comparable to dairy greek yogurt and there's more fiber! Stop eating vegan yogurt that's just sugar with no protein, it's a waste of calories!I use this as a healthy vegan sour cream alternative over chili and it tastes great with the other flavors. I also mix it with a sugar free stevia-based ""maple"" syrup and use it as a decadent pancake topping that tastes like frosting with 0g of sugar. This yogurt is also tasty mixed with chocolate protein powder for a healthy chocolate pudding style breakfast that can be topped with fruits and nuts. Be creative!",false
"R18XFT37WVIXWB","B081DKMZXJ","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Douglas Watson",1,"Gross Flavor","Not really the texture of greek yogurt, and the flavor is horrible. Much preferred the cashew forager yogurt taste, will be going back to that one.",true
"R2ZIYUJFKCYG7P","B081DKMZXJ","","Reviewed in the United States on February 28, 2021","February 28, 2021",1614495600,"Mrs. H",1,"Nope","Bought this based on other positive reviews but it was awful. Funky smell, flavor, and texture. Ended up tossing it as I couldn’t being myself to eat it. Such a bummer.",true
"RC73FWHERINFN","B081DKMZXJ","","Reviewed in the United States on February 10, 2021","February 10, 2021",1612940400,"Jeni",1,"no","Unable to eat by itself. Great texture could use for baking or as a thickener.",true
"R3MC52BQ0JI7SG","B081DKMZXJ","","Reviewed in the United States on January 29, 2021","January 29, 2021",1611903600,"Dawn V.",3,"Not a great replacement for unsweetened yogurt","I love Kite Hill but this was a disappointment.This almond milk yogurt was a bit runny and the flavor was awful.Not something I will buy again.",true
"R14VWVG0MC4511","B081DKMZXJ","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"E. Sankin",2,"It doesn't taste good","The texture is fine; it's thick and relatively similar to greek yogurt.The flavor is abysmal.It's no substitute if you eat greek yogurt plain.My child would not eat it, and I only ate her bowl because I hate to waste.I will have to cook with it to hide the flavor and use it up; this is not worth eating as yogurt.Disappointing because Kite Hill sour cream is delectable.I had hopes.",true
"R192H8BXMHYTC6","B081DKMZXJ","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"Gigi H.",1,"Yuck","I had high hopes for this product but I found it to be grainy and the flavor was awful.",true
"R1YE1DV3FV8YJ0","B081DKMZXJ","","Reviewed in the United States on November 15, 2020","November 15, 2020",1605423600,"Ally",5,"Thick, Creamy, Dreamy!","I HAD to write a review for this yogurt because I have been searching so long.I have looked for plain almond milk yogurt to use to top soup, burritos, and various other things I used to use dairy greek yogurt for before I went vegan.This yogurt is amazing. It is perfectly thick, just like real dairy Greek yogurt, and the taste is very fresh unlike some vegan yogurts that have a strange after taste.Everyone has their own preferences for alternative dairy but I urge you to try this. It’s amazing and I’m never going back to anything else. Not to mention it is often on sale at Whole Foods 🥰",true
"R2JCUMCYVQNCQP","B081DKMZXJ","","Reviewed in the United States on November 13, 2020","November 13, 2020",1605250800,"Mich",1,"Most disgusting non-dairy yogurt","Gross. Gag-inducing. Avoid at all costs.",true
