"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2A62A2YB9SSJQ","B081DKQHXB","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Kelli",5,"So yummy!","I decided to go 98% dairy free (I am not vegan or vegetarian) and this yogurt is amazing!! I just sprinkled a little cinnamon and monk fruit sweetner in itand sliced up two big strawberries. YUM! I won’t miss regular yogurt at all!!",false
"R15KBQQ3K22P1D","B081DKQHXB","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Furngirl",5,"Great almond milk yogurt","This is Greek style yogurt so not quite as thick as regular Greek but very close. I love the vanilla to eat with granola or fruit. The pricing is so much better than the small cups. I highly recommend it.",true
"R4UYX1GETIOFF","B081DKQHXB","","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"J Kirk",1,"Unhealthy mysterious ingredients","3rd ingredient after almonds and water is ""Natural Flavors"" - do a little research and see all the chemicals and other toxins that can be buried in this category. very deceptive company representing itself a something it's not.Nasty!",true
"R1NDMT3ZM6AP15","B081DKQHXB","","Reviewed in the United States on April 4, 2021","April 4, 2021",1617516000,"Coach Janice SD",5,"I use this in my favorite breakfast!","Every morning I now eat a bowl of this yogurt, berries (I love blackberries!), chia seeds, and Lily's dark chocolate chips.It is my favorite breakfast.It is Keto friendly and the balance of sweet and tart is delicious!I also use it as a non-dairy sub in recipes that call for regular yogurt and it works well.This yogurt is thick (Greek style) and rich.I'm so happy I found it!",true
"R25X28FY4N9G3T","B081DKQHXB","","Reviewed in the United States on March 31, 2021","March 31, 2021",1617170400,"Margaux11",5,"Great Yogurt","This product has become a morning staple. I don't consume sugar, flour or any type of animal products so this is fabulous. It's helps me with IBS issues too.",true
"R19QGZ5ZZX3SQ5","B081DKQHXB","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Terry",1,"Super gross","This is easily the worst dairy-free product I've ever had. I've liked other Kite Hill products and decided to try this.. absolutely disgusting. Hoping I can use this in a baking recipe so it doesn't go to waste.",true
"R2PHIX94WCU3LT","B081DKQHXB","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Emilie",5,"I Love this stuff","Great product!",true
"R3TSITZLTR6ZYA","B081DKQHXB","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"Rosalba",1,"It is not as I expected it .... Disappointed","The flavor was not good at all , I am sorry 😔",true
"R3IHWNAXRMLIBU","B081DKQHXB","","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"oliveista",4,"Good doctored up","I took the suggestion of a prior reviewer, added bananas and cinnamon.Then I took it a step further and added just a touch of cinnamon vanilla syrup.It was just right.Not too sweet.",true
"RSVKLCTKQVIVB","B081DKQHXB","","Reviewed in the United States on January 15, 2021","January 15, 2021",1610694000,"Linda",5,"Great source of protein","This has got to be the most protein packed plant based yogurt I’m able to find. I add it into my smoothies everyday for some protein (: I actually don’t know how it taste alone but it definitely gives my smoothies some body. I can definitely tell the difference from when I use it and don’t use it in my smoothies.",true
"R1LGZIGAO3KHZS","B081DKQHXB","","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"NonaT",1,"Doesn’t taste like vanilla or greek yogurt","I wanted to like this. I like many kite hill products. I would buy the cream cheeses and sour cream again but this yogurt is a big no. The flavor is very off putting. It has a sour flavor with a weird aftertaste that reminds me of chemicals. I am not getting a vanilla flavor from this at all. The texture is thick but kind of gritty. I’ve had greek yogurt before and this is not it at all.",true
"R30LX7HX40P2W7","B081DKQHXB","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"angela",5,"DELICIOUS","This dairy free yogurt is AMAZING!!! I absolutely love it!!! It tastes like Greek yogurt without dairy and with with protein!! Thank goodness a dairy free Greek yogurt alternative!!",true
"R3VH438RKEVBL2","B081DKQHXB","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Kimberly",5,"Taste great","This yogurt was fantastic taste great!!!",true
"R31C0M3G6BEAND","B081DKQHXB","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"Chef Tania",5,"Delicious and creamy!","This is my favorite non-dairy yogurt. I have tried them all. High protein, low sugar and great texture and flavor. Super creamy and delicious .",true
"R3DGSPPQ7P3WSU","B081DKQHXB","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"Jess",1,"Very bad flavor","Bad very bad. I like their non-Greek style much better.",false
"R3A46WFSH3JY7X","B081DKQHXB","","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"Abby",4,"Eh","Flavor is okay. I always add agave. It’s very expensive for the amount you get and honestly doesn’t taste as good as many alternatives.",true
"R34G7YPSJXKE3J","B081DKQHXB","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"Tina P",2,"Not my flavor","I really didn't enjoy the flavor of this yogurt.The texture was a little off too, but mainly it didn't taste right to me.I didn't think it was spoiled or anything, just not really appealing overall. It was ok when added to a smoothie and blended with other strong flavors.",true
"R3A5U7EZEYNPPS","B081DKQHXB","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Sarah",1,"Horrible","Super bitter, had to spit it out and dump down the drain.",true
"R18YQSUFMHTEOB","B081DKQHXB","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"Skid",2,"Natural Flavors need to be removed","I am not going to buy this anymore. The taste and texture is fine but I am not interested in ""natural flavors"" in my food. Read up on it and you will be also.",true
"R1EEV8HKW0JJPO","B081DKQHXB","","Reviewed in the United States on June 3, 2021","June 3, 2021",1622700000,"Bean",1,"Nope","I ate it because I was hungry and don’t have much else but it tastes like poison. I’m not picky. Honestly. I don’t mean it doesn’t taste good. I mean it tastes awful. I’m hoping it’s supposed to taste that way and I haven’t just been literally poisoned.",false
