"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RLG30HV3DAQST","B081DKWNF7","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"AmazonCustomer123AC",2,"Not good for greek yogurt replacement","This is a bit too sweet . I was using it as a Greek yogurt replacement... not good! I can’t have dairy anymore so I thought this would be a good option.",true
"R3JVCSOHVULHFM","B081DKWNF7","","Reviewed in the United States on February 12, 2021","February 12, 2021",1613113200,"sweetcheeksgirl",4,"Healthy and simple ingredients","Pretty good yogurt. I have tried many different dairy free ones and this once is at the top.",true
"R3PEQ2T6J8JNE8","B081DKWNF7","","Reviewed in the United States on February 10, 2021","February 10, 2021",1612940400,"Amazon Customer",5,"The best","The best yogurt with little ingredients and allergy friendly if you can have coconut ! My kids love it!",true
"R21ZI7DU4WBIZF","B081DKWNF7","","Reviewed in the United States on January 15, 2021","January 15, 2021",1610694000,"Twinkletoes",4,"No sugar, please","This tastes alright and has good texture and consistency. I would love to find a plain coconut yogurt just like this, but without any added sweetener.",true
"R24S06SOYN8RVL","B081DKWNF7","","Reviewed in the United States on January 14, 2021","January 14, 2021",1610607600,"abbc",5,"Light and Refreshing Taste - Low Sugar and Low Saturated Fat","I've been searching for the best alternative to regular yogurts, and this is the best found I found. The flavor is super fresh and light. It is also one of the best alternatives for a low calorie, very low saturated fat and lower sugar - if compared to other vegan/non dairy option.Will keep buying it!",true
"R2LMWNH1ZGAIBY","B081DKWNF7","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"Amazon Customer",3,"Average","Love that this brand has started making a yogurt alternative, but this yogurt is just too sweet for me. Still looking for a good option with less sugar.",true
"R38TRP8JIMQ5N2","B081DKWNF7","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"Krista",3,"Not ""Plain"" added sugar","too sweet, disappointed to see added sugar in a plain yougart.",true
"RDH4BAVUAIIVA","B081DKWNF7","","Reviewed in the United States on October 3, 2020","October 3, 2020",1601704800,"anne",4,"it okay","I use to by Co Yo coconut yogurt.Which I love, but it seems to have a mold issue.So i now choose Harmless Harvest,it is not a good.But have not gotten any mold yet.",false
"R3MY56CAX40K7F","B081DKWNF7","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"S. Hunter",5,"Perfect","the only downside is you want more",true
"R1CNFHA15WYCFD","B081DKWNF7","","Reviewed in the United States on August 23, 2020","August 23, 2020",1598162400,"Michael Garcia Elhombre444.",2,"Make sure you make a good flavored yogurt","This yogurt doesn’t taste like coconut at all",true
"R9JEDK6AP2HE6","B081DKWNF7","","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"C dobal",5,"Delicious","Creamy no need for sugar",true
"R17JZY3KLA5FOW","B081DKWNF7","","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"H",1,"Would not recommend","I love yogurt, all kinds however, this one tasted terrible. The texture was weird. The flavor was gross. All in all. I WOULD NOT buy it again",true
"R3N2RL7JLOP4N3","B081DKWNF7","","Reviewed in the United States on June 10, 2021","June 10, 2021",1623304800,"Sergio T",1,"Too many sugar inside","The size is perfect.However, because of this yogurt has sugar, I prefer the liquid unsweetened version of it.",true
"RRRNCS31146GG","B081DKWNF7","","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Inky Digits",4,"Good starter; too mild to enjoy on its own","This has a very mild flavor; I wouldn't recommend eating it if you're looking for a tart yogurt flavor.It is a pretty good starter though. I mixed it with a can of full fat coconut milk and let it ferment for 3 days (covered with a napkin, whisked periodically). That new batch of yogurt is much better, and now I can use that for starter (and probably only have to wait 2 days for a new ferment).I would rate this 3 stars as a yogurt, but 4, maybe even 5 stars, as a starter.",true
"R2QUFHQG8YYDJW","B081DKWNF7","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"...",4,"SO GOOD, but I can't eat it ;/","This yogurt is beyond delicious.I'm really over the moon about it.However, it somehow gives me a similar reaction to what happens when I have cow's milk/cream (!?!?).I have NO idea why, and other plant-based yogurts don't do it.In fact, I don't think the Harmless Harvest drinkable yogurt does it, but I still have to confirm that.It's VERY upsetting that I have to give up my favorite yogurt right after finding it, but I'm sure most other people can eat it just fine.The plain is so good it's my favorite.The flavors are okay/fine.But the vanilla one is TERRIBLE, as far as I'm concerned.And I usually like vanilla yogurt.",true
"R29JLBNKMYZJJB","B081DKWNF7","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Amy W.",4,"Great lactose free alternative","Great flavor and natural sweetness.",true
"RRXUV5ARLFELA","B081DKWNF7","","Reviewed in the United States on May 1, 2021","May 1, 2021",1619848800,"Avid Reader",1,"Won't buy again","I bought two, didn't finish the first one and threw away the second. Not good at all. Tastes like paste.",true
"R219Z6HX0V034W","B081DKWNF7","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Nathalie Mitchell",1,"Mold in yogurt","I love this yogurt unfortunately I had way too many issues with mold and will no longer be purchasing the yogurts. It seems to be a constant issue with this company. I contacted the company probably 4 to 5 times in less then a year. You would think they would have fixed the issue by now. Just so disappointed because they taste really good but it has become a hassle to store the moldy yogurt until the next time I can get to the store for a refund.",false
"R327EM6XUAB1GW","B081DKWNF7","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"tallman descendant ",1,"Disappointing ibeen loyal to them brand this does not taste well though of humanly","Waste of moneyIts a virgin coconut mix with something it dont have taste too blend and too yuckyCardboard tasteWho makes this garbage how did it manage to american householdsLet me tell you to tell themStick with your coconut drinks atleast that is perfection this is not , dont ruin your brandGet back to tasting clear your nameServe humanity betterThis is insulting to your loyalist",true
"R3N696KRA3XCTE","B081DKWNF7","","Reviewed in the United States on April 1, 2021","April 1, 2021",1617256800,"Sid",3,"Tastes like their waters and thin consistency","If you love the taste of their coconut waters, you will probably like this yogurt. It's not too sweet and has the consistency of nonfat cows milk yogurt. However, I prefer the thick, creamy coconut yogurts from other brands.",false
