"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R30N0JN6JA1MRQ","B082F94M3S","B082F94M3S","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Anna P",3,"Produces yogurt that’s too sour and tart","The product came out too sour for my taste.The consistency was thick enough like the Greek yougurtsI like but the taste was too tart.",true
"R15FIYNUIYKMRP","B082F94M3S","B082F94M3S","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Maya",1,"Didn't work. Sour and inedible.","Tried it twice. Once according to the directions on the package, once according to my yogurt maker instruction. Yogurt didn't set in the 4-5 hours it said in the package. One hour more and it was sour, curdled, and inedible. It's not worth wasting more time and milk. I'm going back to store bought yogurt for starter.",true
"R390P68FSXHAYC","B082F94M3S","B082F94M3S","Reviewed in the United States on June 14, 2021","June 14, 2021",1623650400,"justadumbblonde",5,"Makes gourmet yogurt with beginner skills","I'd never made my own yogurt before, so I write this review as a newbie but total convert to this creamy homemade treat.Using my 3 quart Instant Pot with the ceramic non-stick inner pot, I made the yogurt in the pot without individual containers.Makes it so easy, and cleanup is a breeze.If you follow the extremely simple instructions, I have no doubt you can do this too.Prior to trying to make yogurt, I had read so many things about which kind of milk to use or not use.My experience thus far has proven the pickiness to be rather unnecessary except for shelf-stable (UHT) milk which is rendered basically sterile during pasteurization.Surprisingly, even powdered whole milk works great.I used Nido Fortificada to make my last batch and it worked perfectly. (btw, if you haven’t discovered Nido Fortificada, put a can in your pantry.It’s great and keeps a long time.)I like a rich yogurt, so I always use whole milk, and I've even added some cream to the milk when I want to make frozen yogurt (basically just putting flavored yogurt in my ice cream machine).So far I've made 10 batches, and every one was delicious.No failures so far and you can't beat that.You can get a really nice, thick yogurt without it getting too tangy.To this point I've used the starter for every batch instead of using the heritage method, since cost is not a factor.This way I get finished yogurt in 5-6 hours of cooking with another hour of straining.It is my understanding that it will take a few hours longer if using a previous batch to start a new one.Be sure to heat your milk to 180* first and let it cool to the 100-115* range before adding the starter. This step isn’t required, but it makes the yogurt creamier. 100-115* is the optimum temp, although the little critters will work fine within a 10* range either way. Temp mostly affects how long you need to incubate.It takes 140-150* to kill them altogether.Please mark this review as helpful if it has been, it helps others see it too.",true
"R3BPTBIV53BU25","B082F94M3S","B001E0VA8G","Reviewed in the United States on June 1, 2021","June 1, 2021",1622527200,"manisha patel",5,"yummy taste","I like it. Its my second order and I love this product. I would buy it again.",true
"R3CLAKMEP4ASKG","B082F94M3S","B001E0VA8G","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Jonesy",5,"It consistently makes good tasting yogurt","This is a little pricey for my budget, but I stretch it by using the resulting yogurt as a starter for my next batch one or two times. I use organic milk from pasture raised cows to make a half-gallon of 24 hour yogurt about once a week due to my dietary needs and it always comes out very tangy, but not sour.",true
"R2QSTD673XYJ7J","B082F94M3S","B001E0VA8G","Reviewed in the United States on May 3, 2021","May 3, 2021",1620021600,"Nathalie",5,"Reliable","This yogurt starter works consistently well. I only gave it 4 stars because it has sugar!!! Prefer a yogurt started with no sugar.",true
"R1Y3M22NK0NVPH","B082F94M3S","B082F6S69Q","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"keith lehman",1,"A big disappointment","I'm thinking the culture is dead. Flavor is off as is the tartness even after twenty four hours of incubation. Ibelieve this is counterfeit or expired and repackaged.Buyer beware",true
"R3U5B9AON81VZU","B082F94M3S","B001E0VA8G","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"M. Epps",5,"Yo Gourmet homemade yogurt, tangy and delicious","We love the tangy flavor of homemade yogurt and Yo Gourmet is great.",true
"R17LX4GKGV1MUR","B082F94M3S","B001E0VA8G","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Amre",5,"It’s easy to digest specially for people with lactose intolerance.","It’s easy to use utilizing a yogurt maker.",true
"R1U32N5ZOUR5TJ","B082F94M3S","B001E0VA8G","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"S. Damghani",2,"UNRELIABLE","I discovered this brand, first at Himalayan Institute PA. The yogurt is tangy ( how everyone outside United States, believes the yogurt should be) and Smooth. So good that I had to go to the kitchen and ask what starter they use. I ordered it and for a whole year, I had the most amazing yogurt. Easy, economical, tart, perfect consistency. Much btter than The European Yogurt you buy at Trader Joe's.I ordered it again the next year from the same Amazon distributor. Not a single one in the package worked! And I hopelessly tried to experiment with increasing the incubation time, the cooling time, mixing two packagage... Not a single one worked. I feel that if there was a possibility to buy the product from the company itself rather than Amazon, the issue could have been resolved. But it is not possible. Or... Is it just an unreliable company? I am very disappointed.",true
