"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2W90ZWGY2547Z","B082JYGH3J","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Disappointed Shopper ",1,"Terrible not granola","It made a few of us sick after eating.Also it was not a true granola it was keep was 99% powder & tasted terrible.",true
"R166HWJ5RDSL5J","B082JYGH3J","","Reviewed in the United States on July 3, 2021","July 3, 2021",1625292000,"Alice Espinoza",5,"Love it!","Love this product. Nice to have granola without a lot of sugar.",true
"R2ZIKDOX3XXD5U","B082JYGH3J","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"Wendy G.",2,"Not as tasty as I hoped","The taste was okay, not good.It's a little oily feeling in the mouth, which is likely from the the added MCT oil.I had mine with some almond/coconut milk and the flavor was a little off - not as good as other keto granola I have had.It's a good concept, but for what you get and the flavor for that price, I wouldn't buy it again.",true
"R1Y36HWCPJT5S","B082JYGH3J","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Larry Windle",3,"Dry","Dry and not much flavor",true
"R21NX371LV3UG3","B082JYGH3J","","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"S Hennessy",5,"tastes great","I use it as a topping on ""two good"" vanilla yogurt with some sugar free walden's maple syrup and it is a GREAT low carb treat! (3 grams of carbs total).the serving size isn't a true 2/3 cup or you are over the 28grams.",true
"R2MV7M8GCZ2S6S","B082JYGH3J","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Bell247",5,"Yummy in my tummy","Love. love. love!",true
"R3NCEZCKBBYTI1","B082JYGH3J","","Reviewed in the United States on June 5, 2021","June 5, 2021",1622872800,"Ldp",5,"Taste wonderful","Look as a quick snack",true
"R1T90UI4ELW1JV","B082JYGH3J","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"BJR",5,"Good taste and crunch.","This is tasty and has good crunch. I find it not quite as good as the Livelo brand, but the portion is bigger, so I am enjoying both brands. Still best to mix it in with Greek yogurt or something similar so that the amount seems like more. The chocolate taste is very enjoyable.",true
"R3LLQUPMVX4R4X","B082JYGH3J","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"ToeJamm",4,"Mmmm, tasty","This is not your typical dry, keto-friendly granola.It is soft and chewy, and tastes great!I'll stock up on this stuff!",true
"R3OPYC4I0OS4E9","B082JYGH3J","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"william fields",4,"Easy to digest and good flavor!","I suffer from IBS and other problems.This is easy to digest and the flavor is one of thebest I have tried.",true
"R3A9IUZ2FJQV05","B082JYGH3J","","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"King Clau",2,"Bit really healthy","Product sold has a healthy option. But contains high saturated fats you’d would like to avoid.",true
"RH5R54FS7HOUT","B082JYGH3J","","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"QarTim",1,"Personal Opinion","I didn’t like this much. It’s very oily and not my flavor. For someone that is on struck high fat Keto I do believe it would be better. Quality is good and it natural. Lots of good fats. It is an acquired taste. Worth trying if you like the lots of healthy fats.",true
"R711NKR0YOIYC","B082JYGH3J","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Patricia ",5,"Great Cracker!","I love this product. It's a Cracker ! I've been looking for something to put cheese, dips and have with soups. I'm a Very happy Keto diet girl!!!!!",true
"R3L0O9TN3Q5HYX","B082JYGH3J","","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Michael D.",5,"It tastes good and it's good for you","It tastes good and it's good for you",true
"R13MOEMM6E99I2","B082JYGH3J","","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Amazon Customer",5,"Love this granola!","This granola tastes so good! We love it!",true
"R212NIT89O4Z8K","B082JYGH3J","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"Linda Tweit",5,"Expensive but great","I use this for a snack.Great flavor and healthy",false
"R7W8DHIHYHJO4","B082JYGH3J","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Annette R Paradis",5,"Good to put on yogart!","The flavor was good!Liked it on my yogart!",true
"R2Z7VGL8QIGZGL","B082JYGH3J","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Trinity",5,"Good Granola","I have never had a ""soft granola"" before.This granola is not crunchy or hard; rather it like granola before you bake it.I like it and it is easier on my teeth to boot.It is good with yogurt and I think would be good on ice cream. It tastes like and has the consistency oatmeal chocolate chip cookie dough. I eat a low carb/keto diet and this fits in perfectly. The portion is reasonable for the carbs.Update: I did not find any identifiable chocolate chips in this granola although I do taste a bit of chocolate.",true
"R17PUFV4WPF3CQ","B082JYGH3J","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Stephanie Hantz",5,"This the BEST!","Absolutely the BEST granola I have ever had and I have tried quite a few. Trying to find sugar free because of diabetes and low carbs for dietary reasons this is a real find. Ordered one the first time ordered three this time! Great on top of yogurt!",true
"R3F4E3UNKYHNR8","B082JYGH3J","","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"Park A",4,"Not what I expected, but I dig it!","This is pretty alright stuff… but you must like coconut flavor, the coconut is strong in this one. It’s not crunchy, at all. Chewy, chocolaty, coconuty goodness, weighing in at one net carb. This is part of my monthly Subscibe & Save.",true
