"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RMIHIZ1L97XOO","B086699JFD","B086699JFD","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Beverooni",4,"Yummy but expensive!","Be careful. It's easy to eat a serving that's double what you should. Good crunch.",true
"R22NNEAGQLH004","B086699JFD","B08668PQLD","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"KellyAnn",5,"Keto food that I would eat even if I wasn't doing keto","Keto peanut butter crunch granola can live in my house even after I cycle off of keto. It tastes like real food and not some chemical fake sugar concoction. Trust me, I'm a 46 year old woman who has tried every garbage diet food in existence.",true
"R3MWJTXTYEWMC3","B086699JFD","B08668PQLD","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Gwen Estelle",5,"Best granola for being keto friendly","I love it . Portion is perfect . Tastes amazing !",true
"R197BV7S7VFSNC","B086699JFD","B08668PQLD","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Amazon Customer",5,"The BEST granola I have ever had!!!","This granola came in our monthly keto crate box and we tried it on some vanilla keto yogurt and it is a game changer. It is so delicious we will be ordering this a lot more!!!",true
"RQHBHHDYS13SJ","B086699JFD","B08668PQLD","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"Barry Bolinger",2,"Serving size is ridiculous","""By law, serving sizes must be based on the amount of food people typically consume, rather than how much they should consume""1/3 or 1/4 cup isn't even close to a serving size.",true
"R2GIA811SRABAM","B086699JFD","B086699JFD","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Naee Anderson",3,"Good, but salty","Great crunch, a little salty but good.",true
"R3NP17WAY7RVWS","B086699JFD","B086699JFD","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"P. Frahm",5,"Great keto granola, a tad on the spendy side","I love the taste and texture of this keto granola.It goes perfect with my yogurt.The only thing I don't like is the cost.$10/bag is a bit steep.",true
"R2D28Y2Z37VMF1","B086699JFD","B086699JFD","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Kindle Customer",2,"Clumpy Unusual","No, this is oily. In my yogurt, over milk, alone, it's just doesn't taste good. There's no real chocolate taste. It tastes more like oily clumps",true
"R1KC7DIV53D62","B086699JFD","B08668PQLD","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Victoria",5,"Great keto","This is really good never used for cereal just eat 1/4 cup out of bag very light peanut butter taste doesnt have rock hard huge coconut peices like other brands will buy this again especially good for keto for me but good treat for my kids they dont even know thats the test if the kids love you know its a good one",true
"R3SQH46T1WYK6Q","B086699JFD","B08668PQLD","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"pug",5,"SO GOOD","This stuff is absolutely delicious. Our very picky 5 year old son is on a ketogenic diet and he approved... as did our other 3 kids. Everything we’ve gotten from this brand so far is by far the best tasting ketogenic brand out there.. and we’ve been on a medical diet since June of 2020. Will be ordering more for sure.",true
"R3JSYP6AH5ZBX7","B086699JFD","B08668PQLD","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"Amazon Customer",5,"SO YUMMY!!","I was a bit hesitant about buying this as I thought it was a bit pricey. But, I love granola and can't eat the regular variety because as my diet is 95% keto. But I decided to take a chance and I'm glad I did. It's DELICIOUS!!",true
"R1AHDI70U9G08D","B086699JFD","B08668PQLD","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Jana",5,"Love","Hits the spot for when you want a sweet treat that’s low carb. Keeps me on track for keto. I love peanut butter!",true
"R292DCPCCKXYQK","B086699JFD","B08668PQLD","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"krystal",5,"Best keto granola out there","Tastes like 'normal' granola!",true
"R1YQO9X6M189YM","B086699JFD","B08668PQLD","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"P. Sol",5,"Delicious. Granola on Keto!","Great for snacking or with milk. Taste like granola, maybe even better. Handles the desire for cereal that can come on keto.",true
"R2RZ8ZHJ303OI3","B086699JFD","B08668PQLD","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"dan whitney",5,"Low Carb cereal","Very nice flavor and low in sodium plus perfect for Keto lovers",true
"R3HS40DDWCNO4C","B086699JFD","B08668PQLD","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"tig gal",5,"Love it","Love the flavor of this with or without milk. No there is not a lot in the bag for $10 but if you do keto you also don’t really need large portion sizes. Good nutty taste to me. Will buy again.",true
"R1K0398NP4RF5B","B086699JFD","B086699JFD","Reviewed in the United States on August 29, 2021","August 29, 2021",1630216800,"Juan P.",5,"Amazing flavor and feel in your mouth","I was a bit hesitant about buying this one, but now I can't live with it. Flavor is amazing. Not too sweet or oveepowering. It's crunchy and full of grains. I simply love it.",true
"R3E8LWCBOSDPG1","B086699JFD","B08668PQLD","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"Amazon Customer",5,"Best tasting keto granola.","Before buying this product, I looked for reviews, and most reviewers loved this product that prompted me to believe. I love love the taste and texture of this granola.",false
"R3TJS1MZ79S69G","B086699JFD","B08668PQLD","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Saliandra",4,"Tasty, but be prepared for a small bag","This is quite tasty and I like it. But like most Keto items, this one is also very expensive for what you get. The bag is quite small. And the portion size is quite small (1/4 cup). I eat it as a snack and a way to satisfy my need for some crunch. But it's a long way from being a meal, even with milk added. 5 stars for taste. But I took away one star because of the high cost.",true
