"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2D8STJZ0YUON1","B0883GSSBL","B0883GSSBL","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"Indigo Girl",5,"Delicious.","Pricey",true
"RJEJI65TAT0L8","B0883GSSBL","B0883GSSBL","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Julia Becca",4,"Correct item but they came all broken","These are my favorite biscotti! Hopefully in the future they'll ship in a shipping box instead of a mailer bag so they don't get all broken.",true
"R2WZ2TH3WAACFR","B0883GSSBL","B00FKYYMQE","Reviewed in the United States on September 9, 2021","September 9, 2021",1631167200,"scott b.",1,"Broken","Everyone of the biscottis were broken into several pieces… Very disappointed!!!",true
"R3G5JOQFFBBHY","B0883GSSBL","B07485SZC9","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Gail Birdsong",2,"They were all broken","They arrived all broken and for that price I should be able to dip a whole cookie in my coffee",true
"REP0LJ5PYCONF","B0883GSSBL","B07485SZC9","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"G Young",5,"Perfect for coffee bar","Biscottifor coffee bar",true
"R29AEGW2P096YC","B0883GSSBL","B00O2FE84I","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Bernadette Mihalic",1,"Just one more package of crumbled cookies from Amazon.com.","I'm a biscotti fan, but this is the last order from Amazon.I buy lots of dry crackers, cookies, etc., from you all, and they are always broken, crumbled, and basically a waste of money.Are we getting seconds?I know the answer to that.",true
"RKO6LERLWTHLC","B0883GSSBL","B00O2FE84I","Reviewed in the United States on August 5, 2021","August 5, 2021",1628143200,"Maz",4,"Taste good, but all the cookies were shattered","They taste delicious but all the cookies were broken inside the plastic seal. They don’t handle these with care",true
"R18FITJ3IY19JI","B0883GSSBL","B0883GSSBL","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Annette Bates",2,"Beware","Not like crunchy enough did not tast blueberry",true
"RH71FB9I6LCPB","B0883GSSBL","B00O19L07S","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Tabitha Talbert",4,"Extremely tasty, but not crunchy in the least","These are absolutely delicious. That being said, true biscotti, they aren’t. If you’re looking for a crunchy, twice-baked treat to dunk into your coffee, you’re going to be sorely disappointed. One dunk and these will disintegrate into your coffee or tea. They aren’t crunchy in the least, but you can easily remedy this by quickly baking them again in your own oven if you don’t mind going through the trouble. They taste so good that the fact that they have the incorrect texture doesn’t bother me one iota, though. I did deduct one star due to this issue, but I will still buy them. I find them to be quite an enjoyable indulgence!",false
"R26YQEE9NAGSQ0","B0883GSSBL","B0883GSSBL","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"virginia h mcneil",5,"flavor is outstanding","the taste is unique.",true
"R8MYBXBTYAI6X","B0883GSSBL","B01B6STR2Q","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Rosemarie Harm",3,"Seemed stale","Good but Seemed stale",true
"R1K9VJIWFDQUL0","B0883GSSBL","B01B6STR2Q","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Ami BC",1,"Not good","They are not good and they were all crushed ☹",true
"R27FDP5SYOR44B","B0883GSSBL","B0883F5468","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"Kindle Customer",3,"Love the biscotti - but the packaging left them in crumbles","These are the best biscotti I've ever had.Soft but crunchy.My review is reduced to three stars because the two boxes I bought came in a mailing bag - not a box - and left the cookies all broken.If I had been a store wanting to put these out for customers, or was planning to use them with guests, I would have been very upset.Luckily, they're just for my personal use, but the shipping package made no sense!",true
"R1BYRCCUT2ZABU","B0883GSSBL","B0883F5468","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"Amazon Customer",1,"Stale and Broken!","The delivery was fine, but the cookies themselves came completely broken and tasted like they were old.Way too expensive for what you got!Buy them at the grocery store - no difference.",true
"R2KM3TZMKEPMAD","B0883GSSBL","B0883FX5NT","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Chriss",1,"Box is open, biscotti individually wrapped, but broken.","The box came open. Would be kind of hard to close... having it shrink wrapped or something might have saved it. The biscotti are individually wrapped, but they're ALL broken. Was planning of giving it to someone, but looks like I'm going have to eat them myself.",true
"R3E0KPKVV8F23J","B0883GSSBL","B00O2FE84I","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Amazon Customer",5,"Delish!!!","Super Delicious!Flavor is wonderful, not too hard.These are my favorite!",true
"R17F1M7CORPMWO","B0883GSSBL","B01B6STR2Q","Reviewed in the United States on April 3, 2021","April 3, 2021",1617429600,"Noreen L Fraser",1,"I won't be buying any more Biscotti online!!!","I was very disappointed that, even though the product was shipped in a box with bubble protection, most of the (dipping) biscuits were broken into pieces. Furthermore, I was ecpecting 2 CASES of 6, swhich implied 6 boxes of 6 biscuits each, niot 2 boxes of 6 biscuits each for $15 EA. BOX !!",true
"RGIBOTHU495Z9","B0883GSSBL","B07485SZC9","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Nancy B.",5,"A great product.","Delicious cookies.",true
"R2H4R3TA4SAFGL","B0883GSSBL","B00O2FE84I","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Amazon Customer",4,"OK taste very high price","Flavor is good but not very exquisite like you will expect after paying high price tag for it. Will stick with cheaper biscotti with similar flavor.",true
"R1V0DZVIO7TD38","B0883GSSBL","B00O19L07S","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"Nar",5,"Good taste","Soft and tasty",true
