"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2KZUJTOX00P79","B08BJX2JDH","","Reviewed in the United States on March 10, 2021","March 10, 2021",1615359600,"ilovetea!",3,"would be 5 stars if they take out the stevia","Overall I liked this yogurt however the reason for the less than five stars is because it has Stevia in it.Why are they putting this in so many food lines.The yogurt tasted good at first, until that signature Stevia aftertaste took over.I looked at the package and saw not only stevia but monkfruit as well.I've never had Monkfruit on its own so I have no idea what that tastes like but the Stevia is a dealbreaker for me.I added honey and that for me made it edible so that I could finish this yogurt. It did satisfy my hunger and was creamy. So kudos there!",true
"RJ2K5BMPFX7Z","B08BJX2JDH","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"JillB",5,"Good for you and STILL delicious","LOVE this new yogurt. Lactose free, high in protein, low in sugar but still delicious!How often does that happen?I add fresh fruit to it, when I need something to take care of my sweet tooth I add a tiny bit of Stevia....yummmmm!",true
"R2I4LR95MUGTAN","B08BJX2JDH","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"Washington",3,"Yogurt","Doesn’t taste as good as regular Greek yogurt",true
"R3QVDN0QS1EW63","B08BJX2JDH","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"wctgilroy",5,"Please Stock this item!!!","This needs to be a permanently available item. Outstanding product!!",true
"R14Z6U0Z4N7G3F","B08BJX2JDH","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"M. S. Basile",5,"High Protein Greek Yogurt","I enjoy this high protein Greek yogurt. It is thicker but still very creamy and tasty.",true
"R2XXXQTKMBWG01","B08BJX2JDH","","Reviewed in the United States on October 27, 2020","October 27, 2020",1603778400,"Maria",5,"Delicious","Great flavor",true
"RW134QX3E6J5L","B08BJX2JDH","","Reviewed in the United States on June 12, 2021","June 12, 2021",1623477600,"chihappy",5,"A chobani complete convert","I now only eat the chobani complete yogurts and will never go back to any other brand. I was never a yogurt person until I tried these and they’re amazing.",true
"R2NG92KGLQOM24","B08BJX2JDH","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"S",5,"Tasty","Tasty",true
"R2NULUH5RGBE9T","B08BJX2JDH","","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Mina",5,"Yum","Great alternative to regular yogurt",true
"R2SCRX63YDTOD1","B08BJX2JDH","","Reviewed in the United States on May 19, 2021","May 19, 2021",1621404000,"Carol L.",5,"It’s very tasty and it’s not in the least watery. You know you’re actually eating something","It’s substantial. I eat it for breakfast. I also have it as a snack",true
"R1L2SA6A7MV8O3","B08BJX2JDH","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Julie A.",3,"meh","its not very good or flavorful",true
"R2XB0LZ1LINMOA","B08BJX2JDH","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Gail Kathryn",5,"Lactose-free! Great like all Chobani yogurt, but better.","Excellent! I only buy Chobani yogurt, for years -But this is even better because it is lactose free! Thanks Chobani. As with all Chibanis, no added sugar, no added junk or preservatives, etc. I can't think of reason anyone would buy any other brand. Could use a little more fruit (I add my own), but no less than any other brands. btw-""Complete"" is 20 to 50 cents more than regular, if not on sale, but worth it to me.",true
"RMDGACLXJTPOA","B08BJX2JDH","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"Andrea D.",3,"Failed flavor","Did not care for the flavor at all. I like Chobani god their nutritional values and because they’re not too sweet, but this one is not good. The mixed berry, strawberry, and vanilla are very good.",true
"R3G5EWEA3NLJ9Z","B08BJX2JDH","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Mercedes Mónica Duarte Martínez",5,"Los recomiendo","Muy saludables.",true
"R3RKF5G9G2KFY4","B08BJX2JDH","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Jean Komeya",5,"delicious","good for breakfast",true
"R1FQSA2IQC0NN8","B08BJX2JDH","","Reviewed in the United States on April 7, 2021","April 7, 2021",1617775200,"Katherine Meza",5,"Yum","Delish",true
