"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1GM632W6P6HK7","B08BJXQGHF","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Big guy in Texas",5,"Greek Yogurt that taste great.","Great yogurt, great taste and very smooth texture.",true
"R2VK27WG65G7F4","B08BJXQGHF","","Reviewed in the United States on April 5, 2021","April 5, 2021",1617602400,"kooljewl",5,"Healthy Lactose Free Yogurt","It's really wonderful to find flavoured yogurt that is lactose free and healthy at the same time because this combination is so difficult to find. The flavour is not bad, it's thick enough and This yogurt is a good enough value, considering all those aforementioned benefits it has and the fact that there seems to be almost no yogurts that fit that description (except Yoplait YQ, which are also a great option).",true
"R1WX5406K29X47","B08BJXQGHF","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Jenn",3,"Stevia","Texture is great and was excited about the dairy-free aspect but wish this was without stevia. Very sweet and would prefer real sugar.",false
"R331OGNDOAOAAH","B08BJXQGHF","","Reviewed in the United States on January 28, 2021","January 28, 2021",1611817200,"sally21",5,"Wonderful!!!!","This is the real deal! Love that it is lactose free and full of protein! Thank you Chobani !Delicious!",false
"R3HJHOSIXLWLR2","B08BJXQGHF","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"luckylady1957",5,"Chobani yogurt taste good.","Taste an thickness were good.Will try this brand again.",true
"RUO2Q9RAJVCDP","B08BJXQGHF","","Reviewed in the United States on January 11, 2021","January 11, 2021",1610348400,"Judith Harris ",5,"Great yogurt!","I absolutely love this yogurt! It goes above and beyond the regular yogurt’s that are on the shelf. It has more nutrition than other yogurts. The flavor is great and it’s thickness is just right",true
"RZXLOE9UZXBEY","B08BJXQGHF","","Reviewed in the United States on December 14, 2020","December 14, 2020",1607929200,"Dee",4,"Greek yogurt","Love greek yogurt. This one was very yummy. Flavor was good too.",true
"RN4SYQQ5N32EK","B08BJXQGHF","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Esther",5,"I loved 🥰","Good for the money",true
"R3GLU40TSI2ABW","B08BJXQGHF","","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Marvidea",5,"A lot more protein then other brands","Worth every cent for great protein & flavor!",true
"R2FQ5UBUSL4SIE","B08BJXQGHF","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"cfk",5,"My new favorite","Chobani complete is my new favorite yogurt.",true
"RGROMCHSKLLB6","B08BJXQGHF","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Pocahon",5,"Delicious and versatile","The vanilla is really good, only 3 WW points, a great snack to have with a bowlful of berries. You can use with so many fruits... mango is very good as well. I sprinkle cinnamon on all. I do not taste any artificial flavor. The consistency is thick, like custard.",true
"R2FODS81YXZ1K6","B08BJXQGHF","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Karan S Kotz",5,"Wonderful taste and texture.","Tastes wonderful.I’ve never been a yogurt person until I tried this. Now I keep it in my frig and have some almost every day.",true
"R3OTI5CF47I8Z","B08BJXQGHF","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"Mr. & Mrs ",5,"Very ImpressedPlease Add More Stevia/Monk Fruit","So nutritious. Love that it isn't full of sugarand junkIt needs more sweetener please.",false
"R2Q0VAVVINNB9T","B08BJXQGHF","","Reviewed in the United States on May 2, 2021","May 2, 2021",1619935200,"Matthew Moe",5,"Yum yum","Food anytime of the day snack.",true
"R3TZFN1ZIYVZUG","B08BJXQGHF","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Amazon Customer",5,"Delicious","No discomfort and flavor was delicious",true
"R3OD516D1Y0870","B08BJXQGHF","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"JCM",1,"Yuck","Manages to be very sweet and very sour at the same time. Hate it!",true
"R3IQJYK0ZBBWEN","B08BJXQGHF","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Mercedes Mónica Duarte Martínez",5,"Y sobre todo,los tienes en la puerta de tu casa en horas","Son muy saludables.",true
