"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2FUM4ZM0DETYW","B08BSJ44TH","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"Amazon Customer",5,"Best coconut-based yogurt!","Great flavor! It doesn’t have a coconut taste. The consistency is like regular dairy yogurt (not Greek yogurt). I was able to use it in both sweet and savory dishes. And for someone who is sensitive to so many ingredients, this was a real winner for me.",true
"R10I1KV7O4848","B08BSJ44TH","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"M",5,"Tastes very good","The taste is great ! I like that it is non dairy, but still has more sugar than I would have liked. .",true
"RVTUXVSZ8649X","B08BSJ44TH","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Mari",5,"Yummy","So yummy good flavor",true
"R3BQT5FQDJP42K","B08BSJ44TH","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Amazon Customer",5,"Buy!","Our favorite unsweetened yogurt on the market. Always creamy and delicious.",true
"R35W3PNKBT32VQ","B08BSJ44TH","","Reviewed in the United States on January 28, 2021","January 28, 2021",1611817200,"Matt",5,"Good taste and unsweetened","Very good and unsweetened! You must try! Since it's unsweetened you can comfortably add fruits etc as you choose fit.",false
"R4QJ6IEB7HRQ4","B08BSJ44TH","","Reviewed in the United States on September 25, 2020","September 25, 2020",1601013600,"Nabila",5,"Perfect for dairy free life","Really yummy, perfect for replacement of dairy yogurt, perfect for recipes, I really liked it, you can add whatever you want, thats why I like always having the unsweetened one...",true
"R3414W8CJNMGU8","B08BSJ44TH","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"jseldercare",5,"Tasty, creamy alternative","The flavor is mild, the yogurt is very creamy however it does taste a little bit better if you put some peanut butter powder in it or a teaspoon of jam. I like to add peanut butter powder and a couple of Lily’s chocolate chips.",true
"R1SSMI1ZUQBQ81","B08BSJ44TH","","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"L.O.",1,"Always Moldy!!","I actually love these yogurts but I have purchased more moldy containers then edible ones and for that reason I have to stop buying. They are either totally moldy with black mold, pink mold, and even white fuzzy mold. I have purchased tons of yogurts in my life and have never experienced something like this and so consistently. It is literally at least every other container or sometimes every container. Unfortunately something is not right with these. It’s beyond disgusting and so unsafe.",true
"R1L1KRWNG67IMC","B08BSJ44TH","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Tony H",1,"Unopened product got moldy a month before expiry date","I bought two of these and the unopened product got moldy a month before the expiry date. This happened with two out of the three tubs I bought.",true
"R2E3H239ZSBS8W","B08BSJ44TH","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"Christian",5,"Love it","Best non dairy Joghurt for me. I tried a lot of different ones but this is the best and I always come back to it if I need Joghurt. The Coconut one has a better taste than the almond but they are both great!",true
"R131LKLIKCTQF1","B08BSJ44TH","","Reviewed in the United States on June 21, 2021","June 21, 2021",1624255200,"J & S D.",1,"No longer calcium fortified!","We are mostly plant-based eaters and this was such a great way to boost calcium intake for my kids.They would eat this with berries and seeds for breakfast or dessert.I just got a new tub and it doesn’t mention anything about being reformulated, but there is no added calcium.I will look for another brand.Disappointed!",true
"R1VEDWYEBQO52","B08BSJ44TH","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"Christina P.",5,"Just get some","So Creamy and velvety",true
"R279DKJRTP5CYU","B08BSJ44TH","","Reviewed in the United States on May 4, 2021","May 4, 2021",1620108000,"ELLIOTT",3,"what am i eating","I constantly question my life choices as I put this in my mouth..... the consistency is like... face lotion.... and the coconut scent is super strong so.... beware. but it's vegan yogurt¯\_(ツ)_/¯",true
"R11ZPYS09YE3TL","B08BSJ44TH","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Rebecca",5,"The best plain yogurt","Very good !Eat alone or add fruit",true
"R1X8OWIQXJLP71","B08BSJ44TH","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Tboo28",2,"Didn’t care for flavor or texture.","I liked that it was dairy free, but the flavor and texture we’re not to my liking.I used in shakes to mask flavor & texture.",true
"RJPW3759IV602","B08BSJ44TH","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Jasmine Matos",5,"My favorite!","This by far my favorite non dairy yogurt.",true
