"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RSFG52WUYNA7R","B08D1W1NQB","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Amazon Customer",5,"Great flavor!","Love this --A lot of times, ""low carb"" suffers with flavor.Love the texture and taste!A bit pricey --but worth it if it's not awful!",true
"R12UOUTF7V7TG6","B08D1W1NQB","","Reviewed in the United States on August 5, 2021","August 5, 2021",1628143200,"Mad and B",5,"Sooo yummy and keto/low carb friendly!","Don’t think twice about getting this. GRAB THIS PRODUCT I ate a whole bag in a day oops lol",true
"R3VKH2HY21GZI5","B08D1W1NQB","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Candace S.",5,"Delicious in coconut milk","Thank you for bringing cereal back to my life despite keto. Its so sweet and tasty",true
"R3TEWG5K6A1CNV","B08D1W1NQB","","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Val",5,"Loved it!","It has great flavor!",true
"RW5WU2MX7RBNI","B08D1W1NQB","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Victoria Griffen",5,"Great product!","Delicious on my yogurt!",true
"R2MKQ763W0VLMC","B08D1W1NQB","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Amazon Customer",5,"Tasts very good and healthier than regular granola.","Was exactly what I was looking for. I add it to my Greek yogurt in the morning.",true
"R1HGE7ZWV5T7Z6","B08D1W1NQB","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Brian Clark",3,"Good, but very small amount","Very good product, as far as the flavor goes. Probably best as an added ingredient to yogurt or some other type of dessert. If you eat it like cereal you may get 3 bowls out of 1 bag. Little too pricey for me.",true
"R1I4VGC6M12CGE","B08D1W1NQB","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"angelica",5,"Keto granola","Just what i was looking for",true
"R24RK41KEMAS7L","B08D1W1NQB","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Laura Haley",5,"Delicious","Loved everything about this except the lil blueberries were a little bit hatd",true
"R32MI85E2PDFZP","B08D1W1NQB","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"Joe G",4,"Keto frosted blueberry granola","Good tasting keto granola.",true
"R2FZ5PDRAEUNKG","B08D1W1NQB","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Dedra J.",5,"Love it. Great for snacking.","Great for snacking.",true
"R3HUM0DR4FE2UB","B08D1W1NQB","","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Blackchinabear",5,"Sweet tooth treat without the guilt","Being on keto two of my biggest struggles are battling my sweet tooth and needing a crunch. Both those cravings are satisfied with this granola. Whether eaten alone, with yogurt or a little almond milk this is a sweet treat I’m grateful to have. A mixture of nuts without all the additives. I’m also grateful that it doesn’t have that mentholated aftertaste that done keto snacks have. I would highly recommend!",true
"R3S8JZWT5UELOO","B08D1W1NQB","","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"Deborah E. Blake",5,"Very natural taste","Raisins were a bit hard.",true
"R312DSB5VP9FOZ","B08D1W1NQB","","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"stephanie chase",5,"So good!","I love to put this on my Keto yogurt. It is delicious! Keeps me full.",true
"R2BIO6CB2U9E90","B08D1W1NQB","","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"It'sJustMe",5,"Happily Surprised!","I bought this as part of a deal with a different flavor.This one is really tasty too!",true
"R14QYW0KKLJRA2","B08D1W1NQB","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"Luis A. Sanchez",4,"Surpsingly delicious","This taste really good and helps curb my sweet tooth cravings.It may actually be a little too sweet with the frosting flavor but I was able to mitigate that by cutting it with raw almonds and pepitas.Would recommend as long as price doesn't increase.",false
"R2670R0KTZFLB7","B08D1W1NQB","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"TracyN",1,"Doesn’t taste good and expensive","I’m sorry, it just doesn’t taste good. It’s expensive and not worth the money",true
"R21NFXVKJJW2SA","B08D1W1NQB","","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"Taratothet",4,"great stuff","I really like this keto granola, I was using a coconut one which I also really like but it was just so coconut forward. The only reason I'm giving 4 stars instead of 5 is the serving size is tinnnyyyyy so if you eat a normal amount you're actually kind of getting a lot of carbs. Everything in moderation I suppose",false
"R1WPW8G9BSQCY0","B08D1W1NQB","","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Mindful One",5,"So disappointed... 8/21 Update 2 stars to 5 stars","Why? Because it is a delicious granola when its fresh but the bag I bought from Livlo on Amazon was rancid tasting. It has an expiration date of Dec. 2021, so it should have been good. You can even smell the rancidity when you open the bag.Not sure I can risk it to buy any more of this granola. Really a shame cause it tastes great and has healthy ingredients for someone on a low carb/keto type diet.[UPDATE] 8/26/21I contacted the company and they sent me a new bag of the product which was fresh and delicious. Hopefully, my continued purchases will be just as good.",true
"R2JIRA160TTE6N","B08D1W1NQB","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"WYNana",5,"Delicious","A great grain free granola & tastes great.",true
