"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3KK325VB9UL0W","B08GZ7PTYJ","","Reviewed in the United States on January 18, 2021","January 18, 2021",1610953200,"A. D",1,"Disappointing","I was excited to try this, the flavor and packaging seemed very promising. It was not good. It smelled vinegary and the texture was off. I have enjoyed other types of non-dairy yogurt before. I bought it in person, it’s a 10 minute walk home, and the best by date is in March. The kindest thing I can say about this product is perhaps there is a quality control issue. I wouldn’t buy it again.",false
"RKE5MU4CM97JG","B08GZ7PTYJ","","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"MN Mom of 3",5,"Yummy!","I love sour cherry and this did not disappoint! Great texture too! A little bit expensive but a delicious treat.",true
"R1T15G65YFYDJ6","B08GZ7PTYJ","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Kristina",5,"Creamy and delicious","I though it was creamily delicious and satisfying. Really good when you want something different than diary yogurt.",true
"R6TWFAFUUZW7U","B08GZ7PTYJ","","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"maria S.",5,"Delicious","I love this brand!All of the yogurts are amazing.This one is my favorite, but the plain one is great, too.It is nice and thick - not dripping off the spoon.",true
"R1BI7PF81IS5WZ","B08GZ7PTYJ","","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"KimmieD",5,"Yes.","Any flavor of Culina is the best flavor. Period. This is, hands DOWN the BEST NON-DAIRY YOGURT IN ALL OF THE LANDS! I'm a cherry lover & this is divine.",true
"R218SM3EG8VUJV","B08GZ7PTYJ","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"SSA",5,"Amazing!","This is undoubtedly the most delicious yogurt I have ever tasted.",true
"R2VRM3N4D5MT2R","B08GZ7PTYJ","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Krys_hammett",5,"10 out of 10","Culina will forever and always be my favorite yogurt. Whether it’s for a snack or breakfast, it’s the only yogurt I ever care to consume! All of the flavors are absolutely amazing and you cannot beat the texture, the best!",true
"R2WCCUFLW12ITO","B08GZ7PTYJ","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Daniel Knopman",5,"Great dairy free yogurt!","Liked it a lot however it’s very expensive for such a small amount!",true
"R1HYUGXIEDD5SG","B08GZ7PTYJ","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"R. Nagy",5,"Delicious!","Super yummy! Best yogurt I’ve tried. Clean ingredients",true
"R3UYZP8EXBIU7O","B08GZ7PTYJ","","Reviewed in the United States on February 12, 2021","February 12, 2021",1613113200,"Tinkerbell",5,"Love these but pricey","I adore this product and buy one or two a week, but it is very expensive. I am justifying it now as I keep the jars to store beads and crafts. I would buy more and keep buying if it was less expensive, especially compared to all of the other yogurts and dairy free options. It is way more money. I like the flavor combos, which is why I buy it.",false
"R1XLEGA1VB5ELO","B08GZ7PTYJ","","Reviewed in the United States on January 20, 2021","January 20, 2021",1611126000,"Irina",5,"Delicious","Love this coconut yogurt, best I’ve tried so far. Good texture tastes great.",false
