"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RIWD18E6HVEUH","B08JFWJRG1","","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"Brianna Saglimbeni",1,"Disgusting","I don’t know if it’s just me but the plain has the most sour, disgusting flavor. I wish it was vanilla. I love all of the other flavors though 100/10! The plain is -100000/10 though.",true
"R2IDJJCNAXB5W0","B08JFWJRG1","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"jayn meinhardt",5,"VEGAN and really good","Really yummy. And vegan( no need to subsidize the sad dairy industry). And versatile: we use for everything from salad dressing to dessert ((frozen with fruit)",true
"R3V1E8H0ZXJV62","B08JFWJRG1","","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"Wn",1,"Horrible","Horrible taste. Loved the milk, hated the yogurt.",true
"RZFVRCY04SVDU","B08JFWJRG1","","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"Darres Quiles",2,"No.","Ick. That is all.",true
"ROG6F7FPA8FCD","B08JFWJRG1","","Reviewed in the United States on June 1, 2021","June 1, 2021",1622527200,"Veronica L",3,"Wrong substitute","This was a substitute which I didn’t want. I don’t like plain yogurt",true
"R2JBGS2PKNZY9J","B08JFWJRG1","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Deb",1,"Not one of the good Oatly items","Love everything else Oatly makes so much! Their oat milk& ice cream are perfection that makes life better. This yogurt, though is not anything I would buy again. The consistency is like wheat pastewe used to use to adhere flyers to lamp poles. They need to go back to revise this item.",true
"R3M4I7GBHRDMBW","B08JFWJRG1","","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Emily C.",3,"It’s ok, try it at least once","I love Oatly but this is too chalky for me. Not awful.. I still ate it, but I wouldn’t buy it again. I was hoping it could be a cream sub in a sauce or dish but it doesn’t work out that way. Oatly needs to bring their heavy cream to the states!",true
"R2JEU4UGNTWWIB","B08JFWJRG1","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"Emily Charniga",1,"Really bad","Texture it fine, but that taste it really bad and its surprisingly high in calories.",true
"R1O7VCQYZUE97B","B08JFWJRG1","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"Mary M.",1,"Vinegar taste","Tastes like oatmilk and vinegar. So far most of the non dairy yogurts I have tried have a vinegar taste, and this one was pretty strong.",true
"R2S974X85SBJTW","B08JFWJRG1","","Reviewed in the United States on November 13, 2020","November 13, 2020",1605250800,"YF Hilton",2,"Not a good taste","I love oatly so give this yogurt a try, not tasting very good, consistency is good, husband said it taste very oat which not necessary delicious. Not sure about you but I won't buy it again.",true
