"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R144X12OOIB4CY","B08JFWJRM1","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Miguela Miguel",5,"if you love oats you’ll love this!","This yogurt taste amazing, very thick, flavorful and the fruits are at the bottom.",false
"R3C2LBRXS62KX0","B08JFWJRM1","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Amazon Customer",1,"Yuck!","I love oatley oat milk but this yogurt is nasty!",true
"R1H32B3NHHD4DA","B08JFWJRM1","","Reviewed in the United States on February 6, 2021","February 6, 2021",1612594800,"MDAnderson",5,"I Love This Yogurt","The negative reviews really surprise me. This yogurt is definitely one of the closest tastingto real yogurt that I have tried. Frankly, it’s better than the coconut yogurt, and almond yogurt alternatives. The first note is slight chalky, but then it is smooth, and rich, and quite delicious. Also love the fruit on the bottom feature (which is missing from most alternative yogurts).",true
"R78GD12FWCGEX","B08JFWJRM1","","Reviewed in the United States on January 20, 2021","January 20, 2021",1611126000,"Amazon Customer",1,"Meh","Was very sticky texture and flavor was weird. I rather drink the oatly milk...",true
"R2WUWHKCEEEMNB","B08JFWJRM1","","Reviewed in the United States on January 4, 2021","January 4, 2021",1609743600,"BreeAnn Ortiz",1,"It's a no for me","Super runny. Flavor was not good at all. This has to be the worst dairy alternative yogurt I have ever had.",true
"R3MYZISATEOLBG","B08JFWJRM1","","Reviewed in the United States on December 30, 2020","December 30, 2020",1609311600,"cokilx",3,"Not that good","I love oatly milk and was super excited to try this. Very disappointed and don’t like the taste or consistency. Kite hill yogurt is much better.",true
"R2NB04IBCBQYGV","B08JFWJRM1","","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"Amazon Customer",5,"El sabor","Es un sabor diferente pero muy bueno",true
"R3QPQ19PUB8JIC","B08JFWJRM1","","Reviewed in the United States on November 23, 2020","November 23, 2020",1606114800,"Sarah",5,"Delicious!","One of the best vegan alternatives I’ve found. Creamy and the perfect texture and the strawberry is not overpowering. Not watery and bland like other brands, and the price is a steal!",true
"RYJFMGHMIQUMG","B08JFWJRM1","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Eric Grady",1,"Pasty","This taste like flavored white paste. I tossed it in the trash after the first spoon-full.",true
"RHKKM8JXZA2DP","B08JFWJRM1","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Ms. Bee",4,"Kids love it","It's a favorite snack for my kids! And I'm happy knowing they get to have healthy,tastey snacks without dairy.But for me personally, I think it's ok. It's a bit too sweet for me. I prefer a more subtle taste for my yogurt.",true
"R2CVGYM5WE047Y","B08JFWJRM1","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Shaina",5,"Great taste!","Great taste, a perfect healthy snack, and I love that it's vegan!",true
"R3I6B9SEQJOLD8","B08JFWJRM1","","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"Kelly ",2,"A whiff of strawberry...","Okay, so first the good: The texture is spot on to your typical dairy-based yogurt; it is creamy, and thick (stir it up when you get it) with little specks of fruit in it that are delightful. The not-so-good: It's a very, very light taste. Almost like, a faint whiff of strawberry, so that the oat taste really penetrates through and overpowers it for me. Don't get me wrong, I'm not looking for over the top artificial strawberry-ness in my yogurt, but I do think this product would be greatly improved if the strawberry flavor was amped up a bit. Right now, it reminds me of the taste of strawberry bubble gum that you've already chewed for an hour. All that being said, the texture is super promising. It definitely could benefit from being jazzed up with some fresh fruit, nuts, granola...but on its own, its just not jiving for me.",true
"R2MCUDDMDZT4V","B08JFWJRM1","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"cerulean",5,"oat my god, so good","I'm lowkey obsessed with this oatgurt now. Very light flavor, almost reminiscent of bubble gum but in a good way. Only downside is there isn't a ton of protein but add some nuts or mix to it and you're good to go!",true
"RG62HM1SG2EGJ","B08JFWJRM1","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Famous",5,"Gooey but still good","Good but a bit runny or gooey.",true
"R274NOKMFE870Y","B08JFWJRM1","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Bill J",1,"Tastes, smells, and looks like shampoo","I was excited to try oatly’s yogurt.But, unfortunately, it’s really really bad.I took one taste and threw it out.A blog I saw had taste-tested it and compared it to shampoo… I think that’s the most accurate comparison. It’s awful. Really. Skip it.",false
"RWP6YAULBHXWP","B08JFWJRM1","","Reviewed in the United States on May 5, 2021","May 5, 2021",1620194400,"Steph",1,"How is it this bad???","It disgusting. Taste chalky and artificial. I love their milk, was really expecting this to be good",true
"R2KSAXR24CJX2Q","B08JFWJRM1","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"Rug",1,"Elmer’s glue consistency, if that’s your thing","Basically like strawberry flavored elmers glue texture.Disgusting in every way! I love their milk but not this.",true
"R29PVZYGS27VWE","B08JFWJRM1","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Amazon Customer",1,"Horrible","Tastes so bad!",true
