"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R37CC5T5XABBE4","B08JGBKK1Q","","Reviewed in the United States on January 7, 2021","January 7, 2021",1610002800,"moon man",3,"Kinda thin","Not very thick, it is thin.",true
"RNQ6DFGVJ1ZOG","B08JGBKK1Q","","Reviewed in the United States on December 18, 2020","December 18, 2020",1608274800,"Ildika",5,"best","best yoghurt ever",true
"R21X4NXQEL6BEA","B08JGBKK1Q","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"DHB",3,"Very fruity tasting, but sort of ""Gluey"" in texture","I like that this is dariy-free.It is very fruity in flavor.However, I personally do not like the ""Gluey"" texture of it.Sorry, I really wanted to like this more!",true
"R29PNQYZNV2IXZ","B08JGBKK1Q","","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Stellz In The City",4,"Just Ok….","Has a weird taste and is very thick for a yogurt. Overall ok with fruit added.",true
"R2TDA04RIZT90A","B08JGBKK1Q","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Shaina",5,"Great taste!","Great taste, a perfect healthy snack, and I love that it's vegan!",true
"R1K6NHBA0XMB8G","B08JGBKK1Q","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Dorra",4,"You might like it if you don't like sweet stuff and you love oat taste","I am not a fan because it's baaaarelyyyyyyy sweet and you can taste the oat in it. I don't know what I was expecting since it's made with oat milk 😅 I love this brand tho their oat milk and chocolate oat milk are super good and go really well with coffee. So, I'm giving this 4 stars even tho I don't like it because if oat and little sugar is your jam you're gonna love it. My husband loved it. Oh and btw! It's really creamy. I hope this helps 💖",true
"R1NVFTU26J3OSV","B08JGBKK1Q","","Reviewed in the United States on May 14, 2021","May 14, 2021",1620972000,"Felicity A.",5,"Do People not Know how to mix their Yogurt or add to it?","I'm shocked at the negative reviews left on here for this product. I decided to purchase this on a whim due to it being on sale and was not disappointed. At first glance and dip of one spoon, it definitely is runny. Still, after I mixed its contents due to it all being at the bottom ( as expected ), the consistency got thicker, obviously more flavorful, and the color changed.I ate it plain the first time and added nuts and the brand Ding Dong Coconut flake the next time, and it made it even more enjoyable of a snack to eat. I'm not one to eat solely healthy food, so having this in my rotation now makes my mind, and I'm sure my body feels good due to the benefits of yogurt.Give it a try, and please don't let the negative reviews sway you as you may be surprised, and NO, I'm not a sponsored or paid review. You can check out my profile to confirm for yourself since I definitely dish out my fair share of negative reviews myself.",true
"R3UEJRHC4K5NA","B08JGBKK1Q","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"RC",1,"Meh","I am an avid fan of Oatly products but the yogurt isn’t very good. Runny and missing on flavor. Won’t buy again.",true
"R3F51GDG319021","B08JGBKK1Q","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Nichole",3,"It’s alright","It was okay maybe I needed it to be colder. It was alright. I will try another flavor.",true
"RX7S81V2DFCOI","B08JGBKK1Q","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Jenna",5,"Great Flavor","Loved the flavor of this yogurt!!",true
"R34W8R3185NBHV","B08JGBKK1Q","","Reviewed in the United States on February 3, 2021","February 3, 2021",1612335600,"Nikki",1,"I love Oatly, but....","I've tried several Oatly products, and never met one I didn't like...until this. The yoghurt was soo runny, it was like soup. I know non-dairy yoghurts are thin but this was like water. It was also incredibly sweet- even my son wouldn't eat it. Two bites and it went into the trash. I'll stick to their milk and ice cream and leave the yoghurt alone.",true
"R2Z3E7R64G732S","B08JGBKK1Q","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Amazon Customer",2,"Fruit flavor was good, texture was a loss","I wanted to love this, since I enjoy Oatly's oat milk and ice creams, but the texture just didn't work for me. It was a little too gooey, like the chemicals they added to thicken the oat milk just wasn't doing its job subtly enough to pass as yogurt. Surely there are other milk-alternative yogurts on the market that are better.",true
