"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1SUD6SDXVOSVH","B08NL6SXHY","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Lee'Ann B.",1,"Gross","This went right to the garbage! This has to be the worst cereal ever created. It looks like it could be good, but, blech… chucked it all.",true
"R19X6BVL1TQEIF","B08NL6SXHY","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"MMC70",5,"Forager Strawberry Os","This cereal is a hit. Finding foods that are gluten free, dairy free, egg free and not full of artificial colors isn't easy. This fits the bill and it tastes decent.",true
"R3HW6UQBMQWQBA","B08NL6SXHY","","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"H. Collins",1,"Nope","The ingredients are great and we wanted to like this cereal. But it just tastes like beans.",true
"R41E0Y3GOOU14","B08NL6SXHY","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Amazon Customer",1,"Terrible taste no sweetness at all","These looked good and smell a little like strawberry but the taste is god awful. No sweetness at all. It's like puffy cardboard. It doesn't even flavor the milk like strawberry. Couldn't finish a bowl.",false
"R10A7QSZEVJ6OW","B08NL6SXHY","","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"Sakura",1,"Just not good.. :(","I was hoping this would be good, but no it’s not good at all. I had liked the taste at the first bite. It taste like a fun strawberry like cereal like when I was a kid, but way healthier. However then that strange grain like after taste kicks in and it’s not good and I can’t get use to it! I Tried it with milk and it’s even worse! So I am going to use it as a dry snack, but I’m not sure if I can get use that weird after taste, but I really don’t want to throw it out. It’s not a chemical taste like some had suggested, it’s more like a grain, bark like taste, that just doesn’t go at all. I’ll assume that after taste is in all the different flavors. I would say to not to bother, it’s not worth it, I promise.",true
"R1HJ21LN3UJAHI","B08NL6SXHY","","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"uzerswa",1,"Horrible","I don't know what kind of cereals these 5 star reviews are eating but this cereal DOES NOT taste like Cap'n Crunch nor have any real flavor at all.In fact they taste more like a protein-burny flavored cardboard. In my head,I even thought ""Cardboard has more flavor than this""....And I'm PREGNANT. I can pretty much smell flavoring from across the room.Haha. I understand they are very healthy. I have eaten my fair share of health foods, as I am an Autoimmune sufferer and have to stay away from traditional fair.... but Holy Hell. No.This cereal is so bad that once this box is choked down,I won't even buy from the rest of the Forager line of cereals.It is also WAY over priced;you only get 6 servings to a box and the box it's self isn't really that big to begin with.No, no, and no in my book.Don't waste your money.",true
"R1BC27Y9EY7PNR","B08NL6SXHY","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Bobby Z",5,"Tastes like captain crunch but healthier!","This is a great cereal for those who like the sugary stuff but need a healthier breakfast. It seriously tastes like captain crunch, and the texture is just about as rough, lolMuch better flavor than the cinnamon version, in my book",true
"R3W27TLWIKYEXJ","B08NL6SXHY","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Sky",2,"Too hard and not enough flavor","The pieces are rather large (and hard) and don’t soften well even after soaking in milk. The flavor wasn't all that either. A bit like cardboard.",true
"RGKNITGYP1E81","B08NL6SXHY","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"EstellaM",1,"Tastes like flavored cardboard…","I have tried numerous milks with these and there’s only one thing that is constant… the taste. It tastes like cardboard.",true
"R2WULEJ6CPWDKH","B08NL6SXHY","","Reviewed in the United States on June 12, 2021","June 12, 2021",1623477600,"G. Centeno",5,"Great healthy cereal","Best cereal I’ve had that reminds me of “kid” cereals but isn’t terrible for you.",true
"R1R4J4GGU4K1LV","B08NL6SXHY","","Reviewed in the United States on June 3, 2021","June 3, 2021",1622700000,"Kelly B",5,"Tasty and healthier but sometimes way too expensive","I love the forager cereal, lower carb, higher fiber but tasty. It’s not cheap but sometimes (low supply) the prices are ridiculous.",true
"RRDYJVJE8Q5MX","B08NL6SXHY","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"Wintergirl",5,"My absolute favorite!","The only cereal I’ll ever eat! Strawberry is the best flavor. So glad these have protein in them and no artificial colors/flavors. These are yummy and do not upset my stomach. Please never stop making these!",true
"RRCKMZZG20RS8","B08NL6SXHY","","Reviewed in the United States on May 3, 2021","May 3, 2021",1620021600,"Jessie",1,"Vile","They taste bitter and chemical-like. Also super hard no matter how long they've been in milk.",true
"R2WKFTQMDEZD5R","B08NL6SXHY","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Holly",2,"I Tried","I was looking for a new grain free meal option; definitely edible when I add a banana and a sprinkle of sugar but not my cup of tea. The texture is off for me and the flavor isn’t something I’d want to stock up on.",true
"R16NP8RM6PNU9A","B08NL6SXHY","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Amazon Customer",1,"No taste at all - dry","Literally no taste",true
"R3CBILA0O1SGJ4","B08NL6SXHY","","Reviewed in the United States on January 31, 2021","January 31, 2021",1612076400,"Amazon Customer",1,"taste like bitter carrot","this taste is like carrots, no sweet carrots. not good.....",false
